playername,patch,CurrentSkill,PC1,PC2,PC3,PC4
Chovy,16.06,100.0,9.433823308662925,-0.6739334316845204,7.151730707417127,-3.171720899656311
Chovy,15.16,98.76695695266096,7.918990123147058,2.546032011462955,1.9586740657292576,3.485380725103543
Chovy,15.19,82.4441876349463,8.080316151756106,1.4965238644250485,-2.303895887903483,0.9267671896162538
Chovy,16.09,81.14887978143892,4.776845160370732,1.6860485315598703,4.297400310963679,0.512183340788469
Zeka,14.22,80.37269498614637,10.493598336674117,-5.33617772438516,0.3447085815386621,-0.3566944415535563
Chovy,16.07,78.75309370069675,3.979994155551603,4.079490966648235,2.735004075562512,-0.2358273876459158
Quad,15.04,77.96858873741539,6.8190408058852805,-2.156963843691638,2.8556987571688857,0.7793274496254663
ShowMaker,14.12,75.84127895495456,6.441317660443346,0.1107143418932781,-0.4982283261476564,1.839195739674113
Zeka,16.08,72.03092571535232,7.67595807371623,-1.3117638115071395,-0.6882814366321455,-1.9374855737695391
Chovy,15.18,71.95570327752057,6.0296877993274665,0.6600080073509268,-1.2791023456187394,0.9335439571395336
Chovy,16.04,71.15258200925268,3.774363991681504,5.567143121210592,-1.3415990795678985,-0.7691569092621567
Chovy,16.03,70.92558852916898,4.408457346238908,3.970562837919389,-0.644908842846937,-1.2615514073371974
Chovy,16.02,68.85478049561488,3.623623884691319,2.30820677310743,2.394626932508411,-1.7275740360400331
Chovy,16.01,67.92645135674796,3.7184515404900735,2.6807798073393982,1.0814694404608225,-1.2604878066546572
FATE,14.22,67.38408058710932,4.949248733274337,0.3314283449140568,-0.2937592634593752,0.6537134629240133
Chovy,15.01,67.29466856483856,3.744251053537214,0.644280156931422,2.6278984462980057,-0.4995624295421839
Faker,16.02,67.12246980785551,2.843001794402912,4.005343889489411,0.1484741241307995,0.2425124584509382
ShowMaker,14.13,66.29668293550583,6.203754208938515,-1.9034535094323448,-1.1199739497428045,1.0600888814222784
Zeka,14.16,65.4418409728424,7.777718472677404,-4.03861669842597,1.1970720544346936,-4.595086292969278
ShowMaker,14.16,65.40913315546825,6.334702343165519,1.3951088050651874,-4.75658191921971,-0.2183293025388866
BuLLDoG,16.03,65.35890618153539,2.381117429257616,3.5402711779798266,1.597622919617812,-0.7830422422208009
FATE,15.21,65.19236662124675,2.0171381922412337,1.5606186440509786,2.3430102142813856,2.7579053130173947
Zeka,16.07,65.13612248204915,6.400542134795571,-1.9105031643371733,-0.6676349305213373,-1.0612193537184629
Chovy,16.08,64.86069727290828,3.04833745911845,3.787668171336424,-0.048911774764457,-1.219256555827854
Zeka,16.11,64.13874359488926,7.726163092824818,-2.554157689066914,-1.782426847725754,-3.269882234836709
Chovy,15.11,62.9147262131838,1.8531399809191536,0.8282784381111866,3.413123683982509,1.4721761362927528
SeTab,16.09,62.655989000780416,0.9343503553960808,2.53422158219137,3.657587235738485,0.9299121904510952
Faker,15.24,62.6338250018359,3.394388165452788,0.7582582924044613,0.4230825693355126,0.9140682505445268
Loki,16.07,62.57654267807573,4.00403157670596,1.632894175112505,-1.6697524635486516,0.524547929277524
Fisher,16.11,62.53122562865917,3.4781428798377005,1.1732777323263692,-0.5948682818560778,1.41440221238167
Scout,16.11,62.47321034920227,5.897618129340156,-2.416624391735636,-0.7120940305148332,-0.1063970543774175
Loki,16.08,62.36964458769438,3.2543587200499338,2.687884031578565,-0.5373237500890878,-0.7733810077882545
