playername,teamname,position,patch,year,date,golddiffat15,xpdiffat15,csdiffat15,goldat15,xpat15,csat15,kills,deaths,assists,teamkills,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,visionscore,vspm,wardsplaced,wardskilled,wpm,wcpm,controlwardsbought,earnedgold,earned gpm,earnedgoldshare,cspm,damagetotowers,firstbloodkill,firstbloodassist,firstbloodvictim,league,datacompleteness,gamelength,result
Rascal,DRX,top,14.01,2024,2024-01-17 08:20:00,368.0,195.0,4.0,5366.0,7959.0,145.0,0,2,4,14,308.2808,0.119309,879.7048,3157.862,61,1.4599,18,13,0.4308,0.3111,6,9237,221.069,0.20184,8.4244,1898.0,0.0,0.0,0.0,LCK,complete,2507,0
Sponge,DRX,jng,14.01,2024,2024-01-17 08:20:00,878.0,682.0,31.0,5397.0,5531.0,107.0,6,4,3,14,269.3897,0.104258,889.7806,1548.7036,79,1.8907,20,20,0.4787,0.4787,20,7997,191.3921,0.174745,5.1695,1741.0,1.0,0.0,0.0,LCK,complete,2507,0
SeTab,DRX,mid,14.01,2024,2024-01-17 08:20:00,755.0,459.0,22.0,5588.0,8030.0,150.0,2,3,6,14,618.3566,0.239313,544.7866,452.6446,43,1.0291,19,10,0.4547,0.2393,8,9752,233.3945,0.213093,8.0893,3673.0,0.0,1.0,0.0,LCK,complete,2507,0
Teddy,DRX,bot,14.01,2024,2024-01-17 08:20:00,1424.0,290.0,6.0,6123.0,4849.0,138.0,5,4,5,14,1112.7164,0.430638,807.14,470.2832,55,1.3163,18,18,0.4308,0.4308,5,14382,344.2042,0.314263,9.3817,5211.0,0.0,0.0,0.0,LCK,complete,2507,0
Pleata,DRX,sup,14.01,2024,2024-01-17 08:20:00,490.0,-218.0,11.0,3967.0,4160.0,22.0,1,1,10,14,275.1336,0.106481,363.3267,168.6079,119,2.848,64,10,1.5317,0.2393,14,4396,105.2094,0.0960594,0.7898,534.0,0.0,0.0,0.0,LCK,complete,2507,0
DnDn,Nongshim RedForce,top,14.01,2024,2024-01-17 08:20:00,-368.0,-195.0,-4.0,4998.0,7764.0,141.0,2,4,6,14,461.0929,0.160629,822.6964,1190.8576,43,1.0291,17,7,0.4069,0.1675,9,12627,302.2018,0.242761,8.5919,8747.0,0.0,0.0,0.0,LCK,complete,2507,1
Sylvie,Nongshim RedForce,jng,14.01,2024,2024-01-17 08:20:00,-878.0,-682.0,-31.0,4519.0,4849.0,76.0,1,3,8,14,444.8903,0.154985,952.0542,851.6554,94,2.2497,30,25,0.718,0.5983,16,8106,194.0008,0.155843,5.4567,3281.0,0.0,0.0,0.0,LCK,complete,2507,1
Callme,Nongshim RedForce,mid,14.01,2024,2024-01-17 08:20:00,-755.0,-459.0,-22.0,4833.0,7571.0,128.0,3,4,4,14,846.6055,0.294928,648.7276,591.1927,48,1.1488,15,10,0.359,0.2393,11,12933,309.5253,0.248644,9.0706,5564.0,0.0,0.0,1.0,LCK,complete,2507,1
Jiwoo,Nongshim RedForce,bot,14.01,2024,2024-01-17 08:20:00,-1424.0,-290.0,-6.0,4699.0,4559.0,132.0,8,2,2,14,1011.0969,0.352232,678.8831,995.9952,59,1.412,21,17,0.5026,0.4069,9,13555,324.4116,0.260602,9.5253,4535.0,0.0,0.0,0.0,LCK,complete,2507,1
Peter,Nongshim RedForce,sup,14.01,2024,2024-01-17 08:20:00,-490.0,218.0,-11.0,3477.0,4378.0,11.0,0,1,12,14,106.8608,0.0372266,342.1699,209.7966,126,3.0156,71,9,1.6992,0.2154,24,4793,114.7108,0.0921495,0.4787,20.0,0.0,0.0,0.0,LCK,complete,2507,1
