playername,teamname,position,patch,year,date,golddiffat15,xpdiffat15,csdiffat15,goldat15,xpat15,csat15,kills,deaths,assists,teamkills,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,visionscore,vspm,wardsplaced,wardskilled,wpm,wcpm,controlwardsbought,earnedgold,earned gpm,earnedgoldshare,cspm,damagetotowers,firstbloodkill,firstbloodassist,firstbloodvictim,league,datacompleteness,gamelength,result
Morgan,HANJIN BRION,top,15.01,2025,2025-01-15 08:09:30,700.0,-154.0,-6.0,5468.0,7188.0,126.0,5,0,6,18,505.4191,0.188573,701.2974,1192.6292,32,1.1022,10,5,0.3444,0.1722,7,9601,330.6889,0.226333,8.9208,3543.0,0.0,0.0,0.0,LCK,complete,1742,1
HamBak,HANJIN BRION,jng,15.01,2025,2025-01-15 08:09:30,159.0,257.0,-7.0,5153.0,5936.0,107.0,2,1,14,18,546.3031,0.203827,1277.256,2049.0586,39,1.3433,11,6,0.3789,0.2067,9,7120,245.2354,0.167844,6.2342,5379.0,0.0,0.0,0.0,LCK,complete,1742,1
Clozer,HANJIN BRION,mid,15.01,2025,2025-01-15 08:09:30,1247.0,821.0,13.0,6006.0,7442.0,144.0,4,0,7,18,463.5706,0.172959,732.8129,785.1665,27,0.93,15,2,0.5166,0.0689,6,9948,342.6406,0.234513,10.1263,8979.0,0.0,0.0,0.0,LCK,complete,1742,1
Hype,HANJIN BRION,bot,15.01,2025,2025-01-15 08:09:30,848.0,1237.0,30.0,5889.0,6425.0,154.0,7,0,8,18,987.2445,0.368343,127.6464,421.4811,38,1.3088,15,12,0.5166,0.4133,6,11693,402.744,0.275651,10.5741,7223.0,0.0,0.0,0.0,LCK,complete,1742,1
Pollu,HANJIN BRION,sup,15.01,2025,2025-01-15 08:09:30,113.0,427.0,-6.0,3405.0,3257.0,22.0,0,1,15,18,177.6923,0.0662974,282.9506,566.6246,102,3.5132,50,17,1.7222,0.5855,16,4058,139.7704,0.095659,1.1366,1333.0,0.0,0.0,1.0,LCK,complete,1742,1
Rich,DRX,top,15.01,2025,2025-01-15 08:09:30,-700.0,154.0,6.0,4768.0,7342.0,132.0,0,3,1,2,469.8737,0.257479,772.2503,1064.9483,29,0.9989,11,8,0.3789,0.2755,0,6119,210.7577,0.239044,8.8175,2934.0,0.0,0.0,0.0,LCK,complete,1742,0
Sponge,DRX,jng,15.01,2025,2025-01-15 08:09:30,-159.0,-257.0,7.0,4994.0,5679.0,114.0,0,5,2,2,280.9529,0.153955,1266.7853,1115.8553,36,1.24,6,12,0.2067,0.4133,5,4818,165.9472,0.188217,5.7176,0.0,0.0,1.0,0.0,LCK,complete,1742,0
Ucal,DRX,mid,15.01,2025,2025-01-15 08:09:30,-1247.0,-821.0,-13.0,4759.0,6621.0,131.0,0,4,1,2,505.5913,0.277051,491.3318,406.1883,15,0.5166,11,1,0.3789,0.0344,4,5437,187.2675,0.2124,8.4041,0.0,0.0,1.0,0.0,LCK,complete,1742,0
LazyFeel,DRX,bot,15.01,2025,2025-01-15 08:09:30,-848.0,-1237.0,-30.0,5041.0,5188.0,124.0,2,3,0,2,445.7979,0.244286,432.6406,255.2583,26,0.8955,11,7,0.3789,0.2411,3,6908,237.9334,0.269869,9.0586,0.0,1.0,0.0,0.0,LCK,complete,1742,0
Andil,DRX,sup,15.01,2025,2025-01-15 08:09:30,-113.0,-427.0,6.0,3292.0,2830.0,28.0,0,3,2,2,122.6866,0.0672291,521.6762,514.0987,103,3.5476,45,21,1.5499,0.7233,10,2316,79.7704,0.0904698,1.4466,0.0,0.0,1.0,0.0,LCK,complete,1742,0
Rich,DRX,top,15.01,2025,2025-01-15 09:03:08,81.0,-604.0,-19.0,5057.0,7089.0,124.0,1,1,9,13,376.423,0.200274,733.0876,1443.6616,25,0.9063,9,6,0.3263,0.2175,3,6915,250.6949,0.190954,7.9396,5544.0,0.0,0.0,0.0,LCK,complete,1655,1
Sponge,DRX,jng,15.01,2025,2025-01-15 09:03:08,419.0,222.0,18.0,5156.0,5874.0,112.0,2,1,5,13,227.4199,0.120998,796.2417,734.284,54,1.9577,8,10,0.29,0.3625,7,6835,247.7946,0.188745,7.0695,4155.0,0.0,0.0,0.0,LCK,complete,1655,1
Ucal,DRX,mid,15.01,2025,2025-01-15 09:03:08,791.0,520.0,3.0,5855.0,7583.0,152.0,3,0,7,13,618.5619,0.329103,279.7704,157.1601,28,1.0151,3,12,0.1088,0.435,1,9039,327.6979,0.249605,9.9335,6203.0,0.0,0.0,0.0,LCK,complete,1655,1
LazyFeel,DRX,bot,15.01,2025,2025-01-15 09:03:08,200.0,548.0,-10.0,5133.0,6104.0,123.0,7,1,5,13,504.9426,0.268652,351.3716,236.9184,21,0.7613,12,4,0.435,0.145,4,10149,367.9396,0.280256,9.3897,6820.0,0.0,0.0,1.0,LCK,complete,1655,1
