playername,teamname,position,patch,year,date,golddiffat15,xpdiffat15,csdiffat15,goldat15,xpat15,csat15,kills,deaths,assists,teamkills,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,visionscore,vspm,wardsplaced,wardskilled,wpm,wcpm,controlwardsbought,earnedgold,earned gpm,earnedgoldshare,cspm,damagetotowers,firstbloodkill,firstbloodassist,firstbloodvictim,league,datacompleteness,gamelength,result
Andil,DRX,sup,15.01,2025,2025-01-15 09:03:08,-15.0,125.0,2.0,3484.0,3181.0,19.0,0,2,11,13,152.1934,0.0809737,321.426,404.5559,82,2.9728,46,8,1.6677,0.29,15,3275,118.7311,0.0904402,0.9063,119.0,0.0,0.0,0.0,LCK,complete,1655,1
Morgan,HANJIN BRION,top,15.01,2025,2025-01-15 09:03:08,-81.0,604.0,19.0,4976.0,7693.0,143.0,1,2,3,5,416.9547,0.279911,552.6163,526.5861,20,0.7251,9,2,0.3263,0.0725,5,6296,228.2538,0.244456,9.3535,236.0,0.0,0.0,0.0,LCK,complete,1655,0
HamBak,HANJIN BRION,jng,15.01,2025,2025-01-15 09:03:08,-419.0,-222.0,-18.0,4737.0,5652.0,94.0,1,3,2,5,108.1088,0.0725759,990.5619,485.0393,38,1.3776,7,9,0.2538,0.3263,6,4224,153.136,0.164008,5.5831,63.0,1.0,0.0,0.0,LCK,complete,1655,0
Clozer,HANJIN BRION,mid,15.01,2025,2025-01-15 09:03:08,-791.0,-520.0,-3.0,5064.0,7063.0,149.0,0,2,3,5,395.3112,0.265382,266.8278,180.435,29,1.0514,14,3,0.5076,0.1088,6,6137,222.4894,0.238282,10.1511,0.0,0.0,0.0,0.0,LCK,complete,1655,0
Hype,HANJIN BRION,bot,15.01,2025,2025-01-15 09:03:08,-200.0,-548.0,10.0,4933.0,5556.0,133.0,3,2,2,5,462.8157,0.310699,433.7039,201.2085,24,0.8701,11,4,0.3988,0.145,3,6790,246.1631,0.263636,9.4622,854.0,0.0,1.0,0.0,LCK,complete,1655,0
Pollu,HANJIN BRION,sup,15.01,2025,2025-01-15 09:03:08,15.0,-125.0,-2.0,3499.0,3056.0,17.0,0,4,5,5,106.4048,0.071432,463.4683,427.9396,107,3.8792,56,15,2.0302,0.5438,17,2308,83.6737,0.089618,0.8701,203.0,0.0,1.0,0.0,LCK,complete,1655,0
Morgan,HANJIN BRION,top,15.01,2025,2025-01-15 09:54:37,178.0,232.0,5.0,5335.0,7527.0,136.0,4,4,7,17,544.5968,0.188795,1265.3226,1502.3952,36,0.871,11,5,0.2661,0.121,9,10015,242.2984,0.213117,8.0806,2423.0,0.0,0.0,0.0,LCK,complete,2480,0
HamBak,HANJIN BRION,jng,15.01,2025,2025-01-15 09:54:37,1025.0,1054.0,21.0,5820.0,7051.0,132.0,3,6,11,17,806.2742,0.27951,1121.0806,686.3226,51,1.2339,10,14,0.2419,0.3387,10,8985,217.379,0.191199,6.8226,1103.0,0.0,1.0,0.0,LCK,complete,2480,0
Clozer,HANJIN BRION,mid,15.01,2025,2025-01-15 09:54:37,86.0,-267.0,4.0,5248.0,7468.0,142.0,5,4,5,17,450.5323,0.156186,733.379,1051.6694,27,0.6532,15,0,0.3629,0.0,3,11741,284.0565,0.249845,9.0726,5866.0,0.0,0.0,0.0,LCK,complete,2480,0
Hype,HANJIN BRION,bot,15.01,2025,2025-01-15 09:54:37,525.0,-37.0,-21.0,5707.0,5538.0,122.0,5,4,8,17,864.8226,0.299807,464.2016,352.0645,42,1.0161,18,6,0.4355,0.1452,5,12278,297.0484,0.261272,8.2742,2699.0,1.0,0.0,0.0,LCK,complete,2480,0
Pollu,HANJIN BRION,sup,15.01,2025,2025-01-15 09:54:37,179.0,74.0,-4.0,3721.0,3714.0,30.0,0,4,15,17,218.371,0.0757024,416.0565,725.8548,139,3.3629,77,12,1.8629,0.2903,20,3974,96.1452,0.0845682,0.9435,878.0,0.0,1.0,0.0,LCK,complete,2480,0
Rich,DRX,top,15.01,2025,2025-01-15 09:54:37,-178.0,-232.0,-5.0,5157.0,7295.0,131.0,3,3,11,22,574.621,0.201733,934.2581,1728.0968,43,1.0403,10,8,0.2419,0.1935,2,10475,253.4274,0.193127,5.8548,3276.0,0.0,0.0,0.0,LCK,complete,2480,1
Sponge,DRX,jng,15.01,2025,2025-01-15 09:54:37,-1025.0,-1054.0,-21.0,4795.0,5997.0,111.0,6,6,4,22,621.6774,0.218253,1464.0242,1213.9113,55,1.3306,14,12,0.3387,0.2903,12,10062,243.4355,0.185513,5.9758,1541.0,0.0,0.0,0.0,LCK,complete,2480,1
Ucal,DRX,mid,15.01,2025,2025-01-15 09:54:37,-86.0,267.0,-4.0,5162.0,7735.0,138.0,7,0,10,22,815.5645,0.286321,642.7258,1404.2419,26,0.629,5,6,0.121,0.1452,2,15012,363.1935,0.276774,8.4919,9332.0,0.0,0.0,0.0,LCK,complete,2480,1
LazyFeel,DRX,bot,15.01,2025,2025-01-15 09:54:37,-525.0,37.0,21.0,5182.0,5575.0,143.0,6,4,9,22,668.7581,0.234782,627.8226,548.371,45,1.0887,16,12,0.3871,0.2903,5,13057,315.8952,0.24073,8.371,7503.0,0.0,0.0,1.0,LCK,complete,2480,1
Andil,DRX,sup,15.01,2025,2025-01-15 09:54:37,-179.0,-74.0,4.0,3542.0,3640.0,34.0,0,4,16,22,167.8065,0.058912,464.2984,541.9839,136,3.2903,61,24,1.4758,0.5806,19,5633,136.2823,0.103857,1.3548,2039.0,0.0,0.0,0.0,LCK,complete,2480,1
DuDu,DN SOOPers,top,15.01,2025,2025-01-15 11:26:48,-533.0,-277.0,-10.0,4707.0,7106.0,110.0,6,2,6,18,712.0187,0.239648,631.0382,1234.6287,59,1.2761,12,13,0.2596,0.2812,8,13797,298.4211,0.245222,8.6301,3804.0,0.0,0.0,0.0,LCK,complete,2774,1
Pyosik,DN SOOPers,jng,15.01,2025,2025-01-15 11:26:48,-90.0,22.0,-13.0,4899.0,5988.0,107.0,1,2,14,18,546.8349,0.184051,1089.8414,922.9921,94,2.0332,21,21,0.4542,0.4542,20,9142,197.7361,0.162488,5.6885,5319.0,0.0,0.0,0.0,LCK,complete,2774,1
BuLLDoG,DN SOOPers,mid,15.01,2025,2025-01-15 11:26:48,1260.0,374.0,13.0,5834.0,7304.0,136.0,5,2,4,18,669.2574,0.225256,652.235,474.982,60,1.2978,19,10,0.411,0.2163,16,12151,262.819,0.215967,7.6352,5881.0,0.0,0.0,0.0,LCK,complete,2774,1
Berserker,DN SOOPers,bot,15.01,2025,2025-01-15 11:26:48,-2.0,-279.0,9.0,5367.0,6209.0,152.0,5,2,5,18,825.0324,0.277686,642.3288,538.0317,69,1.4924,21,23,0.4542,0.4975,8,15333,331.6438,0.272521,10.3605,3942.0,0.0,0.0,1.0,LCK,complete,2774,1
Life,DN SOOPers,sup,15.01,2025,2025-01-15 11:26:48,323.0,-72.0,-6.0,3416.0,3207.0,20.0,1,2,14,18,217.9596,0.0733598,466.4816,458.8681,192,4.1528,101,24,2.1846,0.5191,26,5840,126.3158,0.103802,0.9301,1411.0,0.0,0.0,0.0,LCK,complete,2774,1
Kingen,Nongshim RedForce,top,15.01,2025,2025-01-15 11:26:48,533.0,277.0,10.0,5240.0,7383.0,120.0,2,5,5,10,436.5249,0.191647,645.7678,699.6035,78,1.6871,22,21,0.4758,0.4542,18,11179,241.7952,0.22383,7.8298,8801.0,0.0,1.0,0.0,LCK,complete,2774,0
GIDEON,Nongshim RedForce,jng,15.01,2025,2025-01-15 11:26:48,90.0,-22.0,13.0,4989.0,5966.0,120.0,2,2,5,10,334.4557,0.146836,1274.9459,1756.1788,99,2.1413,24,21,0.5191,0.4542,26,9033,195.3785,0.180863,5.9913,698.0,0.0,1.0,0.0,LCK,complete,2774,0
Fisher,Nongshim RedForce,mid,15.01,2025,2025-01-15 11:26:48,-1260.0,-374.0,-13.0,4574.0,6930.0,123.0,1,3,7,10,565.0901,0.248091,951.3699,964.845,63,1.3627,13,18,0.2812,0.3893,13,12865,278.2624,0.257586,9.5386,1682.0,0.0,0.0,0.0,LCK,complete,2774,0
Jiwoo,Nongshim RedForce,bot,15.01,2025,2025-01-15 11:26:48,2.0,279.0,-9.0,5369.0,6488.0,143.0,4,5,5,10,811.5573,0.356298,379.2934,211.0382,47,1.0166,26,7,0.5624,0.1514,16,12655,273.7203,0.253381,8.6085,4449.0,1.0,0.0,0.0,LCK,complete,2774,0
Lehends,Nongshim RedForce,sup,15.01,2025,2025-01-15 11:26:48,-323.0,72.0,6.0,3093.0,3279.0,26.0,1,3,5,10,130.1226,0.0571277,518.4787,708.6878,183,3.9582,111,15,2.4009,0.3244,38,4212,91.1031,0.0843396,0.9733,649.0,0.0,1.0,0.0,LCK,complete,2774,0
Kingen,Nongshim RedForce,top,15.01,2025,2025-01-15 12:36:28,-285.0,-672.0,-16.0,4833.0,7234.0,126.0,1,1,5,13,406.6568,0.184522,1115.7504,2077.3551,38,1.1293,14,6,0.416,0.1783,5,7960,236.5527,0.200106,8.1426,2694.0,0.0,0.0,0.0,LCK,complete,2019,1
GIDEON,Nongshim RedForce,jng,15.01,2025,2025-01-15 12:36:28,1359.0,209.0,10.0,6243.0,6213.0,116.0,6,2,5,13,482.9718,0.219151,1543.0312,1184.5765,63,1.8722,15,17,0.4458,0.5052,13,9327,277.1768,0.234472,7.3105,5165.0,0.0,0.0,0.0,LCK,complete,2019,1
Fisher,Nongshim RedForce,mid,15.01,2025,2025-01-15 12:36:28,38.0,167.0,9.0,5025.0,6792.0,128.0,2,7,7,13,643.685,0.292075,676.6716,492.3328,34,1.0104,19,6,0.5646,0.1783,7,7222,214.6211,0.181552,6.7756,3085.0,0.0,0.0,1.0,LCK,complete,2019,1
Jiwoo,Nongshim RedForce,bot,15.01,2025,2025-01-15 12:36:28,288.0,531.0,4.0,5604.0,6576.0,143.0,4,2,5,13,506.9539,0.230033,516.6419,268.9747,30,0.8915,13,8,0.3863,0.2377,4,11587,344.3388,0.291288,9.5691,6894.0,0.0,0.0,0.0,LCK,complete,2019,1
Lehends,Nongshim RedForce,sup,15.01,2025,2025-01-15 12:36:28,6.0,322.0,-5.0,3566.0,3386.0,21.0,0,2,11,13,163.5661,0.0742189,554.6508,630.9955,131,3.893,76,16,2.2585,0.4755,23,3683,109.4502,0.0925817,1.0401,1530.0,0.0,0.0,0.0,LCK,complete,2019,1
DuDu,DN SOOPers,top,15.01,2025,2025-01-15 12:36:28,285.0,672.0,16.0,5118.0,7906.0,142.0,3,1,6,14,1065.8841,0.352921,826.2704,514.9183,43,1.2779,11,9,0.3269,0.2675,8,7222,214.6211,0.194066,7.3997,2502.0,0.0,0.0,0.0,LCK,complete,2019,0
Pyosik,DN SOOPers,jng,15.01,2025,2025-01-15 12:36:28,-1359.0,-209.0,-10.0,4884.0,6004.0,106.0,1,2,9,14,355.3046,0.117644,1220.7429,845.1412,38,1.1293,10,7,0.2972,0.208,9,6746,200.4755,0.181275,5.9733,481.0,0.0,1.0,0.0,LCK,complete,2019,0
BuLLDoG,DN SOOPers,mid,15.01,2025,2025-01-15 12:36:28,-38.0,-167.0,-9.0,4987.0,6625.0,119.0,4,3,9,14,717.5037,0.23757,549.5691,376.2259,46,1.367,19,9,0.5646,0.2675,9,9071,269.5691,0.243754,7.786,4648.0,1.0,0.0,0.0,LCK,complete,2019,0
Berserker,DN SOOPers,bot,15.01,2025,2025-01-15 12:36:28,-288.0,-531.0,-4.0,5316.0,6045.0,139.0,6,3,4,14,730.1634,0.241762,489.4205,484.8737,56,1.6642,14,17,0.416,0.5052,4,10577,314.3239,0.284225,10.1337,2161.0,0.0,0.0,0.0,LCK,complete,2019,0
Life,DN SOOPers,sup,15.01,2025,2025-01-15 12:36:28,-6.0,-322.0,5.0,3560.0,3064.0,26.0,0,4,9,14,151.3224,0.0501038,442.3477,744.4874,151,4.4874,72,23,2.1397,0.6835,24,3598,106.9242,0.096679,1.3076,255.0,0.0,1.0,0.0,LCK,complete,2019,0
DuDu,DN SOOPers,top,15.01,2025,2025-01-15 13:34:29,-249.0,222.0,9.0,5057.0,7574.0,130.0,6,1,4,19,639.3922,0.20915,907.4964,873.1983,41,1.1867,22,3,0.6368,0.0868,8,10290,297.8292,0.239634,7.9884,8146.0,0.0,0.0,0.0,LCK,complete,2073,1
Pyosik,DN SOOPers,jng,15.01,2025,2025-01-15 13:34:29,-730.0,-587.0,-25.0,4553.0,4994.0,83.0,0,2,19,19,294.9059,0.0964657,240.7815,164.7467,50,1.4472,14,10,0.4052,0.2894,13,6690,193.6324,0.155801,5.152,766.0,0.0,0.0,1.0,LCK,complete,2073,1
BuLLDoG,DN SOOPers,mid,15.01,2025,2025-01-15 13:34:29,13.0,88.0,-4.0,5309.0,7182.0,137.0,8,2,7,19,1052.301,0.344215,659.6527,393.2272,41,1.1867,16,9,0.4631,0.2605,7,11208,324.3994,0.261012,9.5803,4929.0,0.0,0.0,0.0,LCK,complete,2073,1
Berserker,DN SOOPers,bot,15.01,2025,2025-01-15 13:34:29,577.0,-456.0,16.0,5440.0,5195.0,140.0,4,1,12,19,834.7033,0.273037,479.8842,442.3444,59,1.7077,15,12,0.4342,0.3473,4,10164,294.1823,0.2367,8.6252,6995.0,0.0,0.0,0.0,LCK,complete,2073,1
Life,DN SOOPers,sup,15.01,2025,2025-01-15 13:34:29,-305.0,-39.0,1.0,3311.0,3255.0,24.0,1,4,16,19,235.8032,0.0771328,768.1331,872.5615,94,2.7207,54,8,1.563,0.2315,16,4588,132.7931,0.106852,0.9841,2436.0,0.0,0.0,0.0,LCK,complete,2073,1
Kingen,Nongshim RedForce,top,15.01,2025,2025-01-15 13:34:29,249.0,-222.0,-9.0,5306.0,7352.0,121.0,3,4,4,10,427.4385,0.170278,1025.2388,2298.5528,42,1.2156,15,5,0.4342,0.1447,11,8089,234.1245,0.230539,7.9016,2238.0,0.0,0.0,0.0,LCK,complete,2073,0
GIDEON,Nongshim RedForce,jng,15.01,2025,2025-01-15 13:34:29,730.0,587.0,25.0,5283.0,5581.0,108.0,2,6,6,10,382.1997,0.152256,1062.055,822.576,57,1.6498,6,19,0.1737,0.5499,5,6856,198.437,0.1954,6.3965,89.0,1.0,0.0,0.0,LCK,complete,2073,0
Fisher,Nongshim RedForce,mid,15.01,2025,2025-01-15 13:34:29,-13.0,-88.0,4.0,5296.0,7094.0,141.0,1,0,6,10,926.0203,0.368896,756.7294,509.0304,42,1.2156,15,11,0.4342,0.3184,6,9202,266.3386,0.262258,9.3488,3525.0,0.0,0.0,0.0,LCK,complete,2073,0
Jiwoo,Nongshim RedForce,bot,15.01,2025,2025-01-15 13:34:29,-577.0,456.0,-16.0,4863.0,5651.0,124.0,3,2,5,10,622.9233,0.248152,543.5311,319.7974,25,0.7236,12,7,0.3473,0.2026,3,7735,223.8784,0.220451,7.6411,863.0,0.0,0.0,0.0,LCK,complete,2073,0
Lehends,Nongshim RedForce,sup,15.01,2025,2025-01-15 13:34:29,305.0,39.0,-1.0,3616.0,3294.0,23.0,1,7,5,10,151.6643,0.0604181,696.1795,505.0072,119,3.4443,66,12,1.9103,0.3473,18,3205,92.7641,0.0913518,0.9551,3165.0,0.0,1.0,0.0,LCK,complete,2073,0
Clear,BNK FEARX,top,15.01,2025,2025-01-16 08:09:06,-570.0,-1525.0,-20.0,4240.0,6043.0,105.0,1,6,3,7,832.1317,0.29787,846.7712,807.1787,20,0.627,8,5,0.2508,0.1567,3,5765,180.721,0.191414,6.5517,0.0,0.0,0.0,0.0,LCK,complete,1914,0
Raptor,BNK FEARX,jng,15.01,2025,2025-01-16 08:09:06,-815.0,-982.0,-25.0,4986.0,5741.0,100.0,1,7,3,7,347.21,0.124287,1511.6928,1109.7179,50,1.5674,14,10,0.4389,0.3135,12,4637,145.3605,0.15396,4.953,765.0,0.0,1.0,0.0,LCK,complete,1914,0
VicLa,BNK FEARX,mid,15.01,2025,2025-01-16 08:09:06,-750.0,-439.0,2.0,5414.0,6961.0,132.0,2,4,1,7,897.4922,0.321267,600.4075,355.2978,32,1.0031,13,8,0.4075,0.2508,5,7815,244.9843,0.259481,8.5266,4684.0,1.0,0.0,0.0,LCK,complete,1914,0
Diable,BNK FEARX,bot,15.01,2025,2025-01-16 08:09:06,-795.0,179.0,2.0,5079.0,6303.0,135.0,2,3,2,7,523.0094,0.187217,479.0282,315.2665,34,1.0658,13,11,0.4075,0.3448,4,9107,285.4859,0.30238,9.2476,2067.0,0.0,0.0,0.0,LCK,complete,1914,0
Kellin,BNK FEARX,sup,15.01,2025,2025-01-16 08:09:06,-336.0,-914.0,3.0,3455.0,2783.0,21.0,1,7,4,7,193.7618,0.069359,607.0533,578.8715,107,3.3542,57,18,1.7868,0.5643,20,2794,87.5862,0.0927656,1.0345,0.0,0.0,0.0,0.0,LCK,complete,1914,0
PerfecT,KT Rolster,top,15.01,2025,2025-01-16 08:09:06,570.0,1525.0,20.0,4810.0,7568.0,125.0,6,0,10,27,786.1129,0.24946,1050.9404,1460.1254,44,1.3793,15,7,0.4702,0.2194,10,9195,288.2445,0.205195,8.1191,3801.0,0.0,0.0,0.0,LCK,complete,1914,1
Cuzz,KT Rolster,jng,15.01,2025,2025-01-16 08:09:06,815.0,982.0,25.0,5801.0,6723.0,125.0,7,4,9,27,818.5266,0.259746,742.6019,413.0721,64,2.0063,14,17,0.4389,0.5329,12,9354,293.2288,0.208744,7.5862,3476.0,0.0,0.0,1.0,LCK,complete,1914,1
Bdd,KT Rolster,mid,15.01,2025,2025-01-16 08:09:06,750.0,439.0,-2.0,6164.0,7400.0,130.0,8,1,6,27,598.7147,0.189993,864.9216,890.721,33,1.0345,17,6,0.5329,0.1881,6,11311,354.5768,0.252417,9.5925,7568.0,0.0,0.0,0.0,LCK,complete,1914,1
deokdam,KT Rolster,bot,15.01,2025,2025-01-16 08:09:06,795.0,-179.0,-2.0,5874.0,6124.0,133.0,5,1,12,27,637.931,0.202437,372.5705,203.8871,38,1.1912,12,12,0.3762,0.3762,1,9780,306.5831,0.21825,8.8715,3807.0,0.0,0.0,0.0,LCK,complete,1914,1
Way,KT Rolster,sup,15.01,2025,2025-01-16 08:09:06,336.0,914.0,-3.0,3791.0,3697.0,18.0,1,1,24,27,309.9687,0.0983636,636.8652,699.0909,112,3.511,66,11,2.069,0.3448,17,5171,162.1003,0.115394,0.7837,1246.0,0.0,0.0,0.0,LCK,complete,1914,1
Clear,BNK FEARX,top,15.01,2025,2025-01-16 09:04:00,780.0,227.0,-12.0,5430.0,7256.0,110.0,7,1,14,27,585.1718,0.201638,980.3617,1822.6763,25,0.9042,11,1,0.3978,0.0362,5,8041,290.8137,0.195493,5.9313,3414.0,0.0,0.0,0.0,LCK,complete,1659,1
Raptor,BNK FEARX,jng,15.01,2025,2025-01-16 09:04:00,452.0,-348.0,-18.0,5823.0,5883.0,99.0,7,2,12,27,609.6926,0.210087,1105.7143,866.5099,43,1.5552,8,9,0.2893,0.3255,7,8787,317.7939,0.213629,6.2206,4317.0,0.0,0.0,0.0,LCK,complete,1659,1
VicLa,BNK FEARX,mid,15.01,2025,2025-01-16 09:04:00,429.0,865.0,4.0,5707.0,7426.0,132.0,1,1,18,27,549.5841,0.189375,555.3345,364.7378,23,0.8318,13,4,0.4702,0.1447,6,8134,294.1772,0.197754,8.2098,2467.0,0.0,0.0,0.0,LCK,complete,1659,1
Diable,BNK FEARX,bot,15.01,2025,2025-01-16 09:04:00,1466.0,706.0,4.0,6518.0,6989.0,140.0,11,1,9,27,962.604,0.331692,690.8499,381.6637,44,1.5913,11,14,0.3978,0.5063,3,12065,436.3472,0.293323,10.0904,13092.0,1.0,0.0,0.0,LCK,complete,1659,1
Kellin,BNK FEARX,sup,15.01,2025,2025-01-16 09:04:00,-410.0,407.0,4.0,3714.0,3148.0,17.0,1,3,16,27,195.0452,0.0672084,440.868,599.7468,102,3.689,52,13,1.8807,0.4702,17,4105,148.4629,0.0998011,1.0127,998.0,0.0,0.0,0.0,LCK,complete,1659,1
PerfecT,KT Rolster,top,15.01,2025,2025-01-16 09:04:00,-780.0,-227.0,12.0,4650.0,7029.0,122.0,0,5,1,8,490.3436,0.195166,788.8969,949.3671,20,0.7233,11,3,0.3978,0.1085,4,4908,177.5045,0.178143,7.7758,1432.0,0.0,0.0,1.0,LCK,complete,1659,0
Cuzz,KT Rolster,jng,15.01,2025,2025-01-16 09:04:00,-452.0,348.0,18.0,5371.0,6231.0,117.0,2,6,4,8,408.2459,0.16249,1432.4051,862.7486,47,1.6998,8,11,0.2893,0.3978,7,6095,220.434,0.221226,6.4014,0.0,0.0,0.0,0.0,LCK,complete,1659,0
Bdd,KT Rolster,mid,15.01,2025,2025-01-16 09:04:00,-429.0,-865.0,-4.0,5278.0,6561.0,128.0,1,7,6,8,908.8608,0.361744,682.2785,540.3978,29,1.0488,13,5,0.4702,0.1808,4,6017,217.613,0.218395,8.2821,0.0,0.0,0.0,0.0,LCK,complete,1659,0
deokdam,KT Rolster,bot,15.01,2025,2025-01-16 09:04:00,-1466.0,-706.0,-4.0,5052.0,6283.0,136.0,3,5,1,8,490.5967,0.195267,569.5118,372.8029,19,0.6872,8,6,0.2893,0.217,0,7671,277.4322,0.278429,8.8969,933.0,0.0,0.0,0.0,LCK,complete,1659,0
Way,KT Rolster,sup,15.01,2025,2025-01-16 09:04:00,410.0,-407.0,-4.0,4124.0,2741.0,13.0,2,4,3,8,214.3942,0.085333,488.6438,480.8318,82,2.9656,48,10,1.736,0.3617,18,2860,103.4358,0.103808,0.7233,0.0,0.0,0.0,0.0,LCK,complete,1659,0
PerfecT,KT Rolster,top,15.01,2025,2025-01-16 09:54:20,-440.0,-695.0,-12.0,4831.0,6905.0,119.0,3,1,5,16,524.0429,0.18329,726.5726,664.1671,34,1.1519,16,5,0.5421,0.1694,6,8437,285.8385,0.220369,8.3343,4439.0,0.0,0.0,0.0,LCK,complete,1771,1
Cuzz,KT Rolster,jng,15.01,2025,2025-01-16 09:54:20,340.0,445.0,13.0,5018.0,5722.0,110.0,1,1,8,16,517.8091,0.181109,1264.1333,1453.4839,61,2.0666,12,15,0.4065,0.5082,9,6325,214.2857,0.165202,6.3354,0.0,1.0,0.0,0.0,LCK,complete,1771,1
Bdd,KT Rolster,mid,15.01,2025,2025-01-16 09:54:20,14.0,300.0,5.0,5159.0,7334.0,143.0,7,0,7,16,786.0644,0.274935,569.5088,541.7956,32,1.0841,16,8,0.5421,0.271,6,9817,332.5918,0.256416,8.7747,5865.0,0.0,1.0,0.0,LCK,complete,1771,1
deokdam,KT Rolster,bot,15.01,2025,2025-01-16 09:54:20,-708.0,-594.0,-6.0,4991.0,5306.0,132.0,5,3,7,16,782.7442,0.273773,501.31,335.336,30,1.0164,9,10,0.3049,0.3388,1,9591,324.9351,0.250512,9.5878,8224.0,0.0,1.0,0.0,LCK,complete,1771,1
