playername,teamname,position,patch,year,date,golddiffat15,xpdiffat15,csdiffat15,goldat15,xpat15,csat15,kills,deaths,assists,teamkills,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,visionscore,vspm,wardsplaced,wardskilled,wpm,wcpm,controlwardsbought,earnedgold,earned gpm,earnedgoldshare,cspm,damagetotowers,firstbloodkill,firstbloodassist,firstbloodvictim,league,datacompleteness,gamelength,result
DuDu,DN SOOPers,top,16.01,2026,2026-01-14 08:13:43,311.0,500.0,15.0,5426.0,9375.0,162.0,4,0,5,19,611.0911,0.239799,427.7542,697.0233,52,1.6525,13,8,0.4131,0.2542,6,9527,302.7648,0.2105,10.6462,6307.0,0.0,0.0,0.0,LCK,complete,1888,1
Pyosik,DN SOOPers,jng,16.01,2026,2026-01-14 08:13:43,707.0,820.0,17.0,6340.0,6945.0,129.0,6,1,9,19,366.6737,0.143887,755.3072,673.7606,73,2.3199,12,21,0.3814,0.6674,10,10117,321.5148,0.223536,7.786,3581.0,1.0,0.0,0.0,LCK,complete,1888,1
Clozer,DN SOOPers,mid,16.01,2026,2026-01-14 08:13:43,621.0,603.0,12.0,5820.0,8777.0,159.0,7,0,8,19,602.7648,0.236532,353.3263,326.536,55,1.7479,20,12,0.6356,0.3814,7,11339,360.3496,0.250536,10.1695,11145.0,0.0,0.0,0.0,LCK,complete,1888,1
deokdam,DN SOOPers,bot,16.01,2026,2026-01-14 08:13:43,-310.0,286.0,15.0,5919.0,6251.0,150.0,1,2,11,19,573.6547,0.225108,479.6822,253.4746,50,1.589,17,14,0.5403,0.4449,6,10028,318.6864,0.221569,8.8983,10558.0,0.0,1.0,0.0,LCK,complete,1888,1
Life,DN SOOPers,sup,16.01,2026,2026-01-14 08:13:43,-815.0,-321.0,-2.0,3634.0,3240.0,17.0,1,5,9,19,394.1631,0.154674,658.8559,393.7818,121,3.8453,57,14,1.8114,0.4449,12,4248,135.0,0.0938584,0.8898,0.0,0.0,1.0,0.0,LCK,complete,1888,1
PerfecT,KT Rolster,top,16.01,2026,2026-01-14 08:13:43,-311.0,-500.0,-15.0,5115.0,8875.0,147.0,0,2,1,8,205.9322,0.115865,770.6568,1628.3581,36,1.1441,15,4,0.4767,0.1271,6,6755,214.6716,0.186206,9.0254,4418.0,0.0,0.0,0.0,LCK,complete,1888,0
Cuzz,KT Rolster,jng,16.01,2026,2026-01-14 08:13:43,-707.0,-820.0,-17.0,5633.0,6125.0,112.0,4,6,3,8,341.7267,0.192268,698.8983,1190.7521,65,2.0657,15,17,0.4767,0.5403,11,7183,228.2733,0.198004,5.4025,372.0,0.0,0.0,0.0,LCK,complete,1888,0
Bdd,KT Rolster,mid,16.01,2026,2026-01-14 08:13:43,-621.0,-603.0,-12.0,5199.0,8174.0,147.0,1,2,6,8,511.7479,0.287929,377.7331,273.0826,51,1.6208,21,7,0.6674,0.2225,7,7352,233.6441,0.202663,9.5339,1854.0,0.0,0.0,0.0,LCK,complete,1888,0
Aiming,KT Rolster,bot,16.01,2026,2026-01-14 08:13:43,310.0,-286.0,-15.0,6229.0,5965.0,135.0,1,4,4,8,565.0742,0.317932,621.8008,353.2627,40,1.2712,11,15,0.3496,0.4767,1,10502,333.75,0.289496,10.2648,6201.0,0.0,0.0,1.0,LCK,complete,1888,0
Pollu,KT Rolster,sup,16.01,2026,2026-01-14 08:13:43,815.0,321.0,2.0,4449.0,3561.0,19.0,2,5,6,8,152.8602,0.086005,694.8305,940.7097,122,3.8771,60,10,1.9068,0.3178,14,4485,142.5318,0.123631,0.7945,0.0,0.0,0.0,0.0,LCK,complete,1888,0
