playername,teamname,position,patch,year,date,golddiffat15,xpdiffat15,csdiffat15,goldat15,xpat15,csat15,kills,deaths,assists,teamkills,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,visionscore,vspm,wardsplaced,wardskilled,wpm,wcpm,controlwardsbought,earnedgold,earned gpm,earnedgoldshare,cspm,damagetotowers,firstbloodkill,firstbloodassist,firstbloodvictim,league,datacompleteness,gamelength,result,season,riot_id,tagline
Canyon,Dplus Kia,jng,13.01,2023,2023-01-18 08:17:31,338.0,-3.0,-6.0,5293.0,5306.0,93.0,4,1,5,20,342.0796,0.118761,770.0774,406.3274,83.0,2.7544,31.0,19.0,1.0288,0.6305,12.0,7129,236.5819,0.174023,5.9735,2024.0,0.0,0.0,0.0,LCK,complete,1808,1,2023,JUGKlNG,kr
Canyon,Dplus Kia,jng,13.01,2023,2023-01-18 08:17:31,338.0,-3.0,-6.0,5293.0,5306.0,93.0,4,1,5,20,342.0796,0.118761,770.0774,406.3274,83.0,2.7544,31.0,19.0,1.0288,0.6305,12.0,7129,236.5819,0.174023,5.9735,2024.0,0.0,0.0,0.0,LCK,complete,1808,1,2023,그어살,KR1
Canyon,Dplus Kia,jng,13.01,2023,2023-01-18 08:17:31,338.0,-3.0,-6.0,5293.0,5306.0,93.0,4,1,5,20,342.0796,0.118761,770.0774,406.3274,83.0,2.7544,31.0,19.0,1.0288,0.6305,12.0,7129,236.5819,0.174023,5.9735,2024.0,0.0,0.0,0.0,LCK,complete,1808,1,2023,HUANG TONG DAYE,KR1
ShowMaker,Dplus Kia,mid,13.01,2023,2023-01-18 08:17:31,410.0,-32.0,10.0,5333.0,7356.0,142.0,3,2,8,20,571.2942,0.198339,684.0265,598.7389,35.0,1.1615,13.0,5.0,0.4314,0.1659,13.0,8896,295.2212,0.217156,9.292,4328.0,0.0,0.0,1.0,LCK,complete,1808,1,2023,DK ShowMaker,KR1
ShowMaker,Dplus Kia,mid,13.01,2023,2023-01-18 08:17:31,410.0,-32.0,10.0,5333.0,7356.0,142.0,3,2,8,20,571.2942,0.198339,684.0265,598.7389,35.0,1.1615,13.0,5.0,0.4314,0.1659,13.0,8896,295.2212,0.217156,9.292,4328.0,0.0,0.0,1.0,LCK,complete,1808,1,2023,DWG KIA,KR1
ShowMaker,Dplus Kia,mid,13.01,2023,2023-01-18 08:17:31,410.0,-32.0,10.0,5333.0,7356.0,142.0,3,2,8,20,571.2942,0.198339,684.0265,598.7389,35.0,1.1615,13.0,5.0,0.4314,0.1659,13.0,8896,295.2212,0.217156,9.292,4328.0,0.0,0.0,1.0,LCK,complete,1808,1,2023,MIDKING,asd
Croco,DRX,jng,13.01,2023,2023-01-18 08:17:31,-338.0,3.0,6.0,4955.0,5309.0,99.0,1,3,2,4,505.1881,0.260044,1045.4867,792.0133,34.0,1.1283,4.0,6.0,0.1327,0.1991,3.0,4293,142.4668,0.168757,4.8119,0.0,1.0,0.0,0.0,LCK,complete,1808,0,2023,김김김,KR2
Croco,DRX,jng,13.01,2023,2023-01-18 08:17:31,-338.0,3.0,6.0,4955.0,5309.0,99.0,1,3,2,4,505.1881,0.260044,1045.4867,792.0133,34.0,1.1283,4.0,6.0,0.1327,0.1991,3.0,4293,142.4668,0.168757,4.8119,0.0,1.0,0.0,0.0,LCK,complete,1808,0,2023,모두다함께차차차,KR1
Croco,DRX,jng,13.01,2023,2023-01-18 08:17:31,-338.0,3.0,6.0,4955.0,5309.0,99.0,1,3,2,4,505.1881,0.260044,1045.4867,792.0133,34.0,1.1283,4.0,6.0,0.1327,0.1991,3.0,4293,142.4668,0.168757,4.8119,0.0,1.0,0.0,0.0,LCK,complete,1808,0,2023,운동된다이거,0223
FATE,DRX,mid,13.01,2023,2023-01-18 08:17:31,-410.0,32.0,-10.0,4923.0,7388.0,132.0,0,4,3,4,426.8695,0.21973,541.7588,387.3451,21.0,0.6969,13.0,4.0,0.4314,0.1327,5.0,6053,200.8739,0.237941,8.8274,74.0,0.0,1.0,0.0,LCK,complete,1808,0,2023,FATE,0822
FATE,DRX,mid,13.01,2023,2023-01-18 08:17:31,-410.0,32.0,-10.0,4923.0,7388.0,132.0,0,4,3,4,426.8695,0.21973,541.7588,387.3451,21.0,0.6969,13.0,4.0,0.4314,0.1327,5.0,6053,200.8739,0.237941,8.8274,74.0,0.0,1.0,0.0,LCK,complete,1808,0,2023,hakujitsu,KR2
FATE,DRX,mid,13.01,2023,2023-01-18 08:17:31,-410.0,32.0,-10.0,4923.0,7388.0,132.0,0,4,3,4,426.8695,0.21973,541.7588,387.3451,21.0,0.6969,13.0,4.0,0.4314,0.1327,5.0,6053,200.8739,0.237941,8.8274,74.0,0.0,1.0,0.0,LCK,complete,1808,0,2023,정재이스,617
Oner,T1,jng,13.01,2023,2023-01-18 11:00:07,-130.0,-596.0,-4.0,5015.0,4996.0,90.0,4,2,7,18,186.4107,0.0735739,860.8696,1405.0324,71.0,1.9704,15.0,22.0,0.4163,0.6105,14.0,7606,211.0823,0.164198,4.6901,0.0,0.0,0.0,0.0,LCK,complete,2162,1,2023,오 너,111
Oner,T1,jng,13.01,2023,2023-01-18 11:00:07,-130.0,-596.0,-4.0,5015.0,4996.0,90.0,4,2,7,18,186.4107,0.0735739,860.8696,1405.0324,71.0,1.9704,15.0,22.0,0.4163,0.6105,14.0,7606,211.0823,0.164198,4.6901,0.0,0.0,0.0,0.0,LCK,complete,2162,1,2023,T1 Oner,KR1
Oner,T1,jng,13.01,2023,2023-01-18 11:00:07,-130.0,-596.0,-4.0,5015.0,4996.0,90.0,4,2,7,18,186.4107,0.0735739,860.8696,1405.0324,71.0,1.9704,15.0,22.0,0.4163,0.6105,14.0,7606,211.0823,0.164198,4.6901,0.0,0.0,0.0,0.0,LCK,complete,2162,1,2023,2633830994978784,KR1
Faker,T1,mid,13.01,2023,2023-01-18 11:00:07,226.0,367.0,16.0,5309.0,7776.0,153.0,5,3,4,18,697.7706,0.275401,520.6846,330.1665,46.0,1.2766,22.0,7.0,0.6105,0.1943,9.0,9962,276.4662,0.21506,8.2424,4870.0,0.0,0.0,0.0,LCK,complete,2162,1,2023,Hide on bush,KR1
Peanut,Gen.G,jng,13.01,2023,2023-01-18 11:00:07,130.0,596.0,4.0,5145.0,5592.0,94.0,1,6,9,12,576.494,0.282016,1034.0703,613.543,79.0,2.1924,37.0,17.0,1.0268,0.4718,15.0,6686,185.5504,0.18163,5.2729,60.0,0.0,1.0,0.0,LCK,complete,2162,0,2023,Peanut,kr11
Peanut,Gen.G,jng,13.01,2023,2023-01-18 11:00:07,130.0,596.0,4.0,5145.0,5592.0,94.0,1,6,9,12,576.494,0.282016,1034.0703,613.543,79.0,2.1924,37.0,17.0,1.0268,0.4718,15.0,6686,185.5504,0.18163,5.2729,60.0,0.0,1.0,0.0,LCK,complete,2162,0,2023,언차티D,KR1
Peanut,Gen.G,jng,13.01,2023,2023-01-18 11:00:07,130.0,596.0,4.0,5145.0,5592.0,94.0,1,6,9,12,576.494,0.282016,1034.0703,613.543,79.0,2.1924,37.0,17.0,1.0268,0.4718,15.0,6686,185.5504,0.18163,5.2729,60.0,0.0,1.0,0.0,LCK,complete,2162,0,2023,Hari2y Quinn,KR1
Peanut,Gen.G,jng,13.01,2023,2023-01-18 11:00:07,130.0,596.0,4.0,5145.0,5592.0,94.0,1,6,9,12,576.494,0.282016,1034.0703,613.543,79.0,2.1924,37.0,17.0,1.0268,0.4718,15.0,6686,185.5504,0.18163,5.2729,60.0,0.0,1.0,0.0,LCK,complete,2162,0,2023,Jon Sn0w,KR1
Chovy,Gen.G,mid,13.01,2023,2023-01-18 11:00:07,-226.0,-367.0,-16.0,5083.0,7409.0,137.0,2,2,7,12,732.3774,0.358273,474.6994,377.1508,48.0,1.3321,16.0,9.0,0.444,0.2498,6.0,8607,238.8622,0.233816,8.6031,0.0,0.0,0.0,0.0,LCK,complete,2162,0,2023,허거덩,0303
Chovy,Gen.G,mid,13.01,2023,2023-01-18 11:00:07,-226.0,-367.0,-16.0,5083.0,7409.0,137.0,2,2,7,12,732.3774,0.358273,474.6994,377.1508,48.0,1.3321,16.0,9.0,0.444,0.2498,6.0,8607,238.8622,0.233816,8.6031,0.0,0.0,0.0,0.0,LCK,complete,2162,0,2023,1일2이3삼4사,KR1
YoungJae,DN SOOPers,jng,13.01,2023,2023-01-19 08:20:39,1671.0,879.0,26.0,5731.0,5846.0,105.0,4,1,7,17,307.621,0.121368,1231.477,2074.9524,80.0,1.9859,19.0,28.0,0.4717,0.6951,19.0,8127,201.746,0.178118,6.2805,76.0,0.0,0.0,0.0,LCK,complete,2417,0,2023,영 재,KR111
