playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
Canyon,Gen.G,jng,14.01,14,1,14,0,jng,-2.799079765065949,1.6014276854094955,2.208796199724813,-0.1401266122430159,0.1772943390656392,0.6849912230951669,-2.099268352879185,-1.2486387360929618,-0.10212528337039825,-1.114778056600472,-0.009941882040178146,-0.022384102867557615,0.2514634845782289,-0.7322877776535431,-0.14290959171599935,0.5745750935141282,-0.015571156778750457,-0.20612129164754386,0.1214203423715852,0.4628441926392295,0.14120643754233486,-0.08245684644589231,0.1740024276517221
Cuzz,DN SOOPers,jng,14.01,14,1,13,0,jng,-2.2369247329381228,2.2275949888925726,0.42514783692539404,0.059207472877438876,-1.5055851454555764,-1.8433983050324656,0.6060745731530799,-0.1943899129346436,0.2551611451937205,-0.5324412095126888,-0.5605330682484982,0.2664651757417602,-0.3518042116114591,-0.3659332270864297,-0.09693153432561338,0.433076702753004,-0.13808781184253052,-0.5794179553981404,0.12561767804446403,0.012292090370156694,-0.24388571304931445,-0.03800782536343048,0.007708350557191989
GIDEON,HANJIN BRION,jng,14.01,14,1,11,0,jng,-3.0742812339356123,-0.9128176075077722,0.2066339190359884,-1.6127863056005765,-0.9772148877781367,0.6176031251120846,1.2192618015832932,-2.342970399634992,0.257846952594757,0.6821911906951159,-0.002712818002488179,-0.44930866794150925,0.6684308817455634,0.20651370102465064,-0.2736434158839689,-0.23317032011053315,0.196280568236489,-0.1753383340977277,0.3282771601639116,-0.27759446332316207,-0.08101982490090102,0.11586327114320863,-0.06376931372072467
Lucid,Dplus Kia,jng,14.01,14,1,14,0,jng,-4.912121178437023,1.548951448222851,1.8667023292906646,0.29668960937104083,1.2250283564780249,0.8101350188226981,0.305671445621796,-0.08512852007729044,-0.6426771223408331,0.351865098679641,0.07282716664220612,-0.978508302656309,0.39310798424818433,-0.3740282335223733,0.6813875812062076,0.26173547732352964,-0.26706686512829,-0.15068778220157103,-0.05239148886455817,-0.2522437177365238,-0.17566990377092292,-0.012117968136877566,0.11318422959042525
Oner,T1,jng,14.01,14,1,14,0,jng,-0.9641538491325293,-0.07941053890994577,3.4887308507124124,-1.0233326650670616,-2.243520067231772,0.46521736536796776,-0.33062922605381495,-0.48812942086281214,-1.5845487552328683,0.4503999595945811,0.11848307442988318,-0.5143463129055499,-0.5027125002120549,-1.0009900085334509,-0.3566842660182853,0.11565966050026677,0.45350403515462434,0.04654012626449409,-0.2787033548777051,-0.013856126799302836,0.09078173003677704,-0.2669948527808427,0.11759307828201465
Peanut,Hanwha Life Esports,jng,14.01,14,1,13,0,jng,-2.482341686706554,0.8606773915290684,2.5852948865170906,-0.8494293173235552,-0.3113028309864208,-1.8611749478839419,-0.6582578171070592,-1.5874279426192326,-1.8522439309111156,0.7620864537137833,0.5617334014929429,-0.6406100927609318,0.5304376209947576,0.02391187933273625,0.0970353282456956,0.44505176799066437,0.23591953438929802,-0.2914442587239687,0.10115835867420139,-0.10004593921638502,0.15272599367596268,-0.07123271166844206,-0.01441290052390735
Pyosik,KT Rolster,jng,14.01,14,1,16,0,jng,-1.7672001472679415,1.694423935947878,0.7645302509640056,-0.3241726774258994,-0.3523360952534525,1.3388973562893411,0.4830939967146736,-0.04592695655253615,-0.6469729432152629,-0.6073333726369651,0.22680384143575164,0.2547268639555462,0.4479499631642124,-0.11238695520596921,0.396549017042612,-0.06389508366100999,0.6460132735078559,-0.05508469654212399,-0.228276521589475,0.0031197517282033804,-0.3061762569486511,-0.11061748780442536,-0.06306941748182077
Sponge,DRX,jng,14.01,14,1,15,0,jng,-4.853931721211927,-0.9161653030245918,0.5820703319777573,0.5616167389075583,0.08639129670056575,0.4101539940274654,0.15850285898900898,-2.0855650436925206,0.8425607354145623,0.9189300509409303,-0.5165053858538364,-0.10397927604713743,0.43972954676973175,-0.2597221563821066,0.20390945805244837,1.459101372603522,-0.10795966032148681,0.16441887427015894,-0.10887928058007085,-0.2979844551576534,-0.019605268148354373,-0.07060713215728154,0.016662911095463254
Sylvie,Nongshim RedForce,jng,14.01,14,1,14,0,jng,-4.416733727267143,1.3487632334193818,-0.7625924014638493,-0.32934589442187573,0.1819414201356612,1.012724440586047,0.2634361372894426,-1.0994448047449932,-0.5385743107339833,-0.3967317741190078,-0.641868474998182,0.18463664942680116,0.8659611543191699,0.7724854318121908,0.5101610392949331,-0.11254533682004123,0.041778223807633616,0.38222703086404425,0.061549051368357956,-0.3910505156190754,0.16675144023395239,0.1064405440037917,0.00862820824594347
Willer,BNK FEARX,jng,14.01,14,1,14,0,jng,-0.24519082904121678,2.3876568319966234,-0.008597826136588637,-1.6530538110691384,-0.8159285773272612,1.0022978683740307,0.8960187560136986,1.137399613150868,0.45035240136143756,0.376550949160253,0.6465318913288228,1.2061162376148078,0.5364642783570808,0.36179009073264856,0.44563903523737947,0.44442152028837295,0.9332983826967316,-0.42213985701494755,0.47571612237733035,0.34183257351133245,-0.16592580256295855,-0.10517991965655957,-0.02349113460321936
Canyon,Gen.G,jng,14.02,14,2,4,0,jng,-3.3187880344010225,1.4001389871436043,1.415528824925047,-0.20566038355267652,0.5726531962867825,-0.04911590497317733,1.1729419463676138,-0.4125974118845392,0.32499191889473666,-0.18179471961867866,0.6122131132332702,-0.6402538434961897,-1.9304748846271678,-0.6129169706968546,0.47873866854944386,0.2825149999833179,1.274609815505328,-0.18015706675777285,0.39545853712943585,-0.35573991629331975,0.21943763404319735,0.2702661891413846,0.06899707798767764
Cuzz,DN SOOPers,jng,14.02,14,2,5,0,jng,-1.3338494380583374,3.127459718933499,-0.9927494371336486,1.4338213786680551,-1.929419269050627,-0.7011944854985517,-0.467156965422459,0.42786330348429524,-0.30492560037481165,1.1589040509793695,1.525397681852745,-1.24054468030736,0.33627774545170774,0.6759302701552206,-0.8094183019759539,0.9969621130676812,-0.0024374189755046313,0.3500141855658687,0.6426185816772543,-0.14691742275161085,-0.3151522599385853,-0.14480715317064535,0.11797714194340274
GIDEON,HANJIN BRION,jng,14.02,14,2,4,0,jng,-5.432944069906779,-1.1759855099995984,1.772731649591827,-2.003037652520108,1.5985120130488717,-1.5115665257754916,0.548229908517998,-0.13489724856119995,-0.8052689387204408,0.934020733472986,-0.9330777125958748,-0.181183870041401,-0.4329443438626704,-0.8142994326604415,-0.1595853639895288,0.3080924226545179,-0.25951160970072645,-0.21833532478769502,-0.1980163640196951,-0.22912318234685367,-0.1546139256985832,-0.026167180085845017,-0.21691311285150555
Lucid,Dplus Kia,jng,14.02,14,2,4,0,jng,-5.572284943005168,0.4010845451215321,2.578523671629529,0.8227113782605525,0.6506721703068895,0.8086098642422371,-2.163485246534537,0.34614724489120574,-1.3810442861668843,-0.7762603052963247,-1.0550064326427446,-1.6391432771226526,0.5138645774879221,0.23724367824547976,0.1901179150905739,0.33659261405297236,0.043817265911059694,0.4580192807176116,0.8502366963478187,0.10371742862787378,0.32785408477812544,0.06329215181896072,-0.05270254512153893
Oner,T1,jng,14.02,14,2,4,0,jng,-2.1269113421664048,3.910764592716513,1.5668089571100887,0.6629202943427219,-0.6349398018543253,0.15520967409845163,-0.6852917973680329,-1.7494297214855878,-1.9710524952495092,-0.9589926559911289,0.692878167802919,-0.70269554363959,-1.0824296384810692,-0.7041291728006187,-0.4717807479434878,0.35929542189358205,0.8674977714694725,-1.3065315790632237,-0.283712599557247,0.13178951280213627,0.26377956797363833,0.30227138450076535,0.07280620546860615
Peanut,Hanwha Life Esports,jng,14.02,14,2,4,0,jng,-4.181548857249698,0.5293266180423075,2.557152789217879,-0.429122129860837,1.1745988953660966,-0.36347634571981313,-0.055079948248369606,-2.0407638637664776,0.926682335332207,-1.8720340516902072,-0.9558428833025668,-1.3732874742919592,-0.3928190371355403,-0.5481398821967581,0.04133277850138803,0.857458501684069,-0.7973007383031877,0.24899195574286268,-0.3712206258984981,-0.030366818411469747,0.5548493404382248,-0.3153874586329872,-0.20043187453883213
Pyosik,KT Rolster,jng,14.02,14,2,4,0,jng,0.5149323467853854,-0.1765050108521547,2.398326688771311,2.535765300316881,1.2140630741804022,3.6318975280157035,-1.0801523683013974,-1.082028919249994,0.11654671629409749,-1.1643661053060266,-1.5975697574938224,-0.6493970925569004,0.3528508051141129,1.605401196637744,0.009291121920834285,0.025634902307615386,-0.30640814744261213,-0.2586708168152512,0.07439399702162199,0.22117037838121997,0.11363672327013849,-0.22145140376734276,-0.09125398185891816
Sponge,DRX,jng,14.02,14,2,4,0,jng,-5.992495176039099,-2.2035945591865826,4.29810089210686,-2.6807438785161684,-0.37850562155981277,-2.0101221913045038,0.33653159235840074,2.3550629006234414,-0.8800563160781872,1.921376962642531,-0.06804136473713501,0.8637791817563709,0.14976308646059583,-1.5159639970276948,-0.31609641263500865,1.9134891155838611,0.10664933481624297,0.2527515239777849,-0.7479392166652705,0.21242625989292804,-0.03337479373922431,0.05864385866245593,-0.05126162227675994
Sylvie,Nongshim RedForce,jng,14.02,14,2,4,0,jng,-1.146541805089007,2.589438540756639,1.3326031563236065,-2.1126948545834217,0.5312089081955249,-0.8842393425969495,1.0869891693249805,-0.33839360506078703,0.22094122400945598,-0.6568895810425103,-0.7974505395714675,-0.7124755362720145,0.8841402657881244,1.827105386683831,0.9930947187389999,0.06417600975231445,0.2606529852283972,-0.36040810319783434,-0.10516948444560675,-0.08037660369177173,0.6207696097645503,-0.06670893735448227,0.05466239882564524
Willer,BNK FEARX,jng,14.02,14,2,5,0,jng,-1.348716675859301,1.9302915960359985,0.8290491517170508,-0.7068125475924955,-0.8345213380441553,1.5440184456505481,3.0382405514012585,-1.1411112122565987,-0.06818108303828832,-0.1882615944770002,0.4183076394080782,-0.9718723320885879,-0.15731617395916137,1.2917957046503818,-0.34181278693110606,0.5263037272054938,0.12789352288283237,-0.10978503914056145,-0.33582458633545137,0.08945129127771903,0.13545453413506467,0.07266607455871323,-0.0038941484324367176
Canyon,Gen.G,jng,14.03,14,3,8,0,jng,-0.10109964019239023,3.4549806084567973,0.6169504301076996,0.3759602859616333,-0.3196278599772405,1.179885023038419,-1.5874575828683923,0.0944036962831623,-0.46766028057892334,0.5965291920215896,-0.7005598286531937,0.2655595097036294,-0.23318082761736145,0.9473314265057468,-0.21881726629779508,-0.5330294456920757,0.43413529372302645,-0.1093519240511288,0.13730606272951273,0.10728171243271369,0.29201906526505206,-0.18283265548362054,0.3629403320345098
Cuzz,DN SOOPers,jng,14.03,14,3,11,0,jng,-1.545266549875016,1.9691533984132013,1.1431150891255555,0.9801939124461442,0.30144434502620476,-0.9987887770433946,1.2696564949710747,-0.6191407655658415,-0.9925716480222858,0.5200605840970536,-0.6247411729926702,-0.3957781605357765,-0.3000917267697944,0.09826089896463838,-0.25086871166107405,0.9931493324891243,-0.58220179319773,-0.3921919935640377,0.007933294008016668,0.06862812269285552,-0.27338945939025483,0.03222562417615566,-0.2957909865079744
GIDEON,HANJIN BRION,jng,14.03,14,3,10,0,jng,-2.9498926557943133,0.992137602019095,1.3827537388991886,-1.2025849479675161,-1.2770341923028776,-1.7169859707432686,0.23636517234292037,-1.1834217747342801,0.8166604207162784,-0.956560798715622,-0.2252870394557067,0.051503607212827145,-0.11230897664473309,-0.6483784379292479,0.025618641341490986,-0.5751593730871049,-0.26024574228141756,0.06381525021085739,0.0685801113305045,0.13544813628611516,0.1578282590544085,-0.15665695087932302,-0.13407613171394203
Lucid,Dplus Kia,jng,14.03,14,3,10,0,jng,-4.363347248610089,3.1612976324817645,2.0767130704962007,1.4772180409289357,1.4685378517526955,-0.08524474687668933,-0.9801410676609635,0.9697524758570965,-0.45512722496610075,0.5436605430907477,0.4470922890098865,0.030983975503529045,0.9283088136550081,-0.3085136296359294,0.1955239023763612,-0.2697686436602903,-0.5904782899029594,-0.20758397172312815,-0.579034150854526,0.03164386919143081,-0.24110692501375178,-0.013864405049159612,0.16357769305604394
Oner,T1,jng,14.03,14,3,7,0,jng,0.41538752003994855,2.9151400152499156,-0.7951028827869875,1.0544848361364032,-2.2354971570519746,-0.8824263940782238,-0.6394780106913406,-0.5550098607691224,0.5379058949298648,1.3792933406727441,-0.22095964485982758,0.055745189783557574,-0.22320479336148927,0.17544149107211368,-0.08417871136448113,0.48873715775826587,0.8112583379168595,-0.4080551729207616,0.3071075824835764,-0.40230898479275673,0.4511195009511649,-0.030060305266074772,0.08636589802782899
Peanut,Hanwha Life Esports,jng,14.03,14,3,9,0,jng,-2.2742234657608655,2.6820312424238275,0.9739674735240175,0.5658270069581183,-0.7151006626177319,-1.3404345983204038,-1.4456735114541959,-1.0763666452208298,-0.8996551405910412,-0.4273689372194965,-0.5382349833802683,-0.6962956677868741,0.8775716227905305,-0.23081772357192742,0.17235902330739147,0.3682091764673753,-0.1544131804820161,-0.1889876328716276,-0.08145830258108884,0.12679299743894232,-0.22481070238357345,-0.20971142467587867,-0.0315146176681423
Pyosik,KT Rolster,jng,14.03,14,3,9,0,jng,-5.166244819770392,0.7433657578318918,0.04031009956722512,-0.09497288551984308,-1.0997521423522498,0.3709978386177816,-0.6942736262614067,-0.2125967839443088,-0.32478960032078263,-0.14716187003994183,0.20654718532404573,0.6242999400013324,0.07549033603866775,0.20735377235626018,0.32050234122881194,0.1470684190388341,-0.22619851390040888,1.3145919833297743,-0.7004139540349281,0.17183039188432797,-0.36176820567646584,0.026207217515817095,0.3232048396851261
Sponge,DRX,jng,14.03,14,3,10,0,jng,-3.659943276044118,0.6583885547884045,1.0447095897919023,0.03755585317123961,-2.560897553664164,-0.5541438447870135,-0.09734517769497822,0.28120727083929264,-0.5660009128126186,0.002379703184580137,-0.2709257342470048,1.2321106711034544,-0.6648420891990017,-0.16575400475630137,0.31340627220398964,0.6437642920883315,0.44436115958286715,-0.30491994274606576,-0.40800941481123204,0.3022926492198282,-0.22921451598063655,0.003736198041802988,-0.11442584065037127
