pca_group,feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
jng,golddiffat15,0.2147513738884831,0.12621434075308435,0.3291968178512252,-0.15960344112110247,-0.07151293438047834,0.17738168256307266,0.20122017372271875,-0.03763035559012163,0.02954709617085805,0.20394136406206118,-0.19038866091858786,0.04768967605437217,0.4199234173609801,0.1993936039059645,-0.46322915375051277,-0.13144855635915195,-0.38131755976466175,-0.18292178846201804,-0.12937907403566934,0.020301944731005,-0.009434233159824898,0.01597937510081316,-0.018010673374254233
jng,xpdiffat15,0.2153289864270499,0.16407958608121456,0.3424985607285729,-0.2802227442909838,-0.2197344833307866,-0.15148053031975436,0.09844380384837058,0.01122141805663519,0.15571746415464763,-0.04537930849370783,-0.07370123027529518,0.11437173261246981,-0.08805852173332732,-0.09296644318675554,0.0275529617694113,0.02379515271826138,0.02574238880918503,0.48012179837991764,0.5887245436359566,-0.06388677576251653,-0.0261457083430155,-0.0685637554686826,0.007060453899907554
jng,csdiffat15,0.2044987629886993,0.1414493574168291,0.29111590354645517,-0.28264425022095024,-0.26543306959277696,-0.22455850345015954,0.20914116155061158,0.019416903146297324,0.14305690540054214,-0.02261798401607922,0.03390371545564014,0.11333532015166324,-0.2244717589913984,-0.18986879327673792,0.20109056544928902,-0.01233282054041898,0.3049825771391069,-0.2707812214324556,-0.5106502276178253,0.10776415850024389,0.05408262763174735,0.06897650305222447,0.011960990234071437
jng,kills,0.33115681141142944,-0.03557077091159674,-0.033315392637410485,0.21598149884123707,-0.05098666558622533,0.15219085139900762,-0.0074786935071136755,0.1479997537564307,0.03455185249950602,-0.05077313778005454,-0.2375726707764008,-0.1847814092199018,0.3738788856727398,0.018156825647155726,-0.0185144345478155,0.06559227525027832,0.5810313179153417,0.11731515139619555,-0.08554541458557027,-0.26317274710961186,-0.12252777664263707,-0.11894012312975272,-0.3120505466798267
jng,assists,0.20744777921880345,0.13673634817652225,0.19869962255000634,0.35293894861108244,0.23389066812719408,-0.12140137408046428,-0.3114264945574391,-0.1573831189140018,0.06683837283809214,-0.0724342393174499,0.09113563578808395,0.18600434654676054,0.07666384692289083,-0.3793772425849906,-0.02686735359849833,-0.39638759231782156,0.006864755348435088,-0.20774244696073557,0.15322919918460481,0.29888504197876775,-0.16950263382970318,-0.11251571759727717,-0.15921320396804803
jng,deaths_per_min,-0.07835621465814367,-0.2775925874364144,-0.27496493438515257,0.10841945771129233,-0.18619654308057468,-0.017490320508978568,0.32319441633059776,0.15161594233368017,-0.07493486636453112,0.17927001896195477,-0.4146813018279064,0.44270713226762815,-0.1045034285877356,-0.39299510298311546,-0.09409866286735352,0.004071707954035912,-0.05342142716373545,-0.17683700156802257,0.13373440717786322,-0.0878288560886046,-0.15353313906377858,-0.05009007561088044,-0.03576655754463344
jng,kill_participation,0.08186871605660594,0.005843647201489681,-0.028549971704466784,0.04703760152025613,0.5450353330121132,-0.03689947524279114,0.3379238837217674,-0.43184885771339365,0.4226246209928688,0.0043484794096433676,-0.31075952179221766,-0.12644991660448263,-0.20806798665298293,0.02236498520809816,0.08006360884468912,-0.026367513591953284,-0.036087617593453095,0.026025033943731738,-0.04382317265147875,-0.20978658880966808,0.026127655056612274,0.00553718543464476,0.020282772213648635
jng,dpm,0.34950223252240015,-0.1219667711245359,-0.12488758884184593,0.01587206191346986,0.11423104631595732,0.02079792268580151,-0.11260564825600447,0.05137742119471049,0.12743247319324422,-0.1254132483901071,0.16683991540732168,0.28624231565223385,0.14997257428962757,-0.1633659658726637,-0.008058846814211817,0.21703191338051553,-0.13475396291425465,0.06970220331513115,-0.010252164740533767,-0.1260456283477874,0.27534657537943874,0.6749838204235397,-0.09903651167894915
jng,damageshare,0.2703075762094074,-0.1553453518280248,-0.22104393754752377,-0.2271427066971838,0.15251792986282459,0.07554399209969209,0.018947216560782024,-0.006085693371962225,0.2543424601227975,-0.08919021382639042,0.2937720057451067,0.29093378737360415,0.14817236871987235,0.1139115643103954,0.028563969990210363,0.39946379909256774,-0.02720884603332046,-0.1097324774005523,0.012188760020618491,0.19332718219157982,-0.19052251183758098,-0.4882486857493071,0.09531046357825929
jng,damagetakenperminute,0.13391064061107832,-0.25580040082116107,-0.0009088906418715488,0.3756600273393265,-0.16669900563887602,-0.20063129245325978,0.10808293055945484,0.22209238686470809,0.29564573911223874,0.020754991238219004,0.2356943641502333,0.19863252849055926,-0.19740107527756903,0.4598953642810417,-0.1141606843128041,-0.39019628047738614,-3.8181888514094865e-05,0.09578338658972768,-0.05334529583416955,-0.13483904477167113,0.09358002695549937,-0.06881605083253688,0.06456900384469635
jng,damagemitigatedperminute,-0.031686665116501714,0.0771112758283951,0.2764127961449329,0.5452837578247239,-0.14905816652949364,-0.24605116754909795,0.13750353129916668,0.0693039640460736,0.11643628584578891,0.021671606307551716,0.012117474630768382,-0.22973505855435233,-0.012326948161514344,-0.03185821247461652,-0.01786726906745961,0.6071413175548104,-0.1788412928952279,-0.17009256206330867,0.08680625977164409,0.08317487562698975,0.015142619598985645,-0.012890082705077431,-0.004275298094629642
jng,visionscore,0.06655402191011632,0.4310826441459757,-0.29550740264672437,0.1660894663998233,-0.044149020160558584,-0.11100695082772219,0.09171485465576314,0.061883128884774485,0.026478740003294834,0.02269003330954777,0.025473415951704763,0.02977796546019353,0.05772451040444411,-0.12059526512280302,-0.05809000978656095,-0.011011371538169926,-0.1658294869863193,0.4803436049335194,-0.35826361233880855,0.07898539968547279,-0.4430661410359096,0.08678857611406857,0.21801783352348345
