playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6
Lucid,Dplus Kia,jng,14.02,14,2,4,0,jng,-4.490080403207982,0.8630252189664078,0.6739732792611147,1.3031822926216277,-0.4317718957337016,0.07484494891985442
Oner,T1,jng,14.02,14,2,4,0,jng,-0.908971968084553,0.9704529712882207,-0.884402900716764,-1.0108484932793076,0.48017842942245076,0.0010643935142963833
Peanut,Hanwha Life Esports,jng,14.02,14,2,4,0,jng,-2.8792750383751806,2.21803189179683,-0.2958673710233936,0.1798550667823373,-0.08244091469916055,-0.018240689995753203
Pyosik,KT Rolster,jng,14.02,14,2,4,0,jng,-2.9066793974221894,1.4136040143489876,2.7685412198333665,0.2626058066685929,-0.16614525562831173,0.21321016639992957
Sponge,DRX,jng,14.02,14,2,4,0,jng,-0.8932078321091755,2.6313922053540653,-1.1941741891695616,-0.5203276890157937,0.07140133630982515,0.05188527436235746
Sylvie,Nongshim RedForce,jng,14.02,14,2,4,0,jng,-0.7795476220885116,3.1733484920377504,-0.0013568711602631324,-0.22423328217059887,-0.09586301291301873,0.32231680142662616
Willer,BNK FEARX,jng,14.02,14,2,5,0,jng,1.0841898471613678,0.9175451774547037,0.5982960331524033,-0.8983186455175576,-0.21027939641472504,-0.2526434263071068
Canyon,Gen.G,jng,14.03,14,3,8,0,jng,-0.6885365330385753,1.3669602972495898,0.8518198736010972,0.07021040714185124,0.1069497749170367,-0.2641698431670092
Cuzz,DN SOOPers,jng,14.03,14,3,11,0,jng,-0.7427761987391879,1.1085261531907982,0.3446053833775701,-0.38359319483297,-0.17170974906616357,-0.1664029124202595
GIDEON,HANJIN BRION,jng,14.03,14,3,10,0,jng,0.21781742139869736,1.6252921845768373,-1.0925767032386111,0.1873027214618557,0.08653500477061989,-0.06368940965392961
Lucid,Dplus Kia,jng,14.03,14,3,10,0,jng,-2.8047791878822066,1.003352482604329,0.7807820534393802,-0.5581876401793121,-0.15086637629544766,-0.05291952185864498
Oner,T1,jng,14.03,14,3,7,0,jng,-0.2511642899088016,1.319869068938373,-0.3889777722282985,0.08017303317928613,0.6137329479361084,-0.16514561541855924
Peanut,Hanwha Life Esports,jng,14.03,14,3,9,0,jng,-1.297013342586086,0.9809702059885774,-0.09293696901400894,-0.03702628763381169,-0.09079226632213024,-0.16195211497720144
Pyosik,KT Rolster,jng,14.03,14,3,9,0,jng,-3.028672621332816,0.6123427187697141,-0.4546067476386104,0.2574051651996125,-0.0683983319167191,-0.07559380485534227
Sponge,DRX,jng,14.03,14,3,10,0,jng,-1.3944219982828905,1.6261609530535834,-1.433417041891163,-0.5486113686657104,0.30143546935288174,-0.04279579645074046
