playername,position,patch,patch_major,patch_minor,assists,controlwards_per_min,csat15,csdiffat15,cspm,damagemitigatedperminute,damageshare,damagetakenperminute,deaths_per_min,dpm,earned gpm,earnedgoldshare,firstbloodassist,firstbloodkill,firstbloodvictim,goldat15,golddiffat15,kill_participation,kills,tower_damage_per_min,visionscore,vspm,wcpm,wpm,xpat15,xpdiffat15,teamname,match_count,low_sample_flag
Canyon,jng,14.01,14,1,9.642857142857142,0.36953943112143445,94.64285714285714,-1.5714285714285714,5.463349999999999,1150.1786571428572,0.12760705714285714,747.6109642857143,0.03940388106145694,313.16578571428573,207.78962857142855,0.15601014285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,4810.357142857143,-45.42857142857143,0.6885215904543636,1.4285714285714286,70.0706106356736,50.142857142857146,1.6013714285714287,0.35150000000000003,0.5055714285714286,5341.428571428572,31.785714285714285,Gen.G,14,0
Cuzz,jng,14.01,14,1,6.923076923076923,0.34840076403025005,103.46153846153847,6.769230769230769,6.039323076923077,1320.4524615384616,0.12348016153846153,998.8266538461538,0.10500057258161692,276.51765384615385,197.3391,0.16925176923076923,0.07692307692307693,0.0,0.07692307692307693,4794.846153846154,-61.84615384615385,0.7046073027678379,1.4615384615384615,41.00245223068846,62.38461538461539,1.8332384615384616,0.5037153846153847,0.4708076923076923,5545.923076923077,189.0,DN SOOPers,13,0
DDoiV,jng,14.01,14,1,2.0,0.40279107778398154,98.0,-19.5,5.139749999999999,1123.87175,0.155855,858.1866,0.13426369259466053,228.3777,157.8932,0.1635875,0.0,0.0,0.0,4715.5,-305.5,0.8,1.0,0.0,51.5,1.71605,0.43055,0.4047,5225.0,-712.0,HANJIN BRION,2,1
GIDEON,jng,14.01,14,1,3.8181818181818183,0.3003715713168204,103.27272727272727,-1.8181818181818181,5.694072727272727,882.8580454545455,0.138954,922.5545000000001,0.1000109426581545,261.95093636363634,173.9395909090909,0.17239636363636365,0.0,0.2727272727272727,0.18181818181818182,5058.727272727273,142.45454545454547,0.7660074773711137,1.5454545454545454,18.581001258009817,45.09090909090909,1.4337454545454547,0.4444909090909091,0.38413636363636366,5642.181818181818,-26.454545454545453,HANJIN BRION,11,0
Lucid,jng,14.01,14,1,6.285714285714286,0.4320117765687626,101.28571428571429,-5.785714285714286,5.543978571428572,1218.15875,0.09799759285714285,770.4146785714286,0.06255659137992939,187.70553571428573,181.94660714285715,0.15634007142857143,0.35714285714285715,0.21428571428571427,0.0,4805.5,-81.85714285714286,0.7411798985328397,1.1428571428571428,24.062559213849827,53.285714285714285,1.564307142857143,0.3902285714285715,0.4722071428571429,5423.142857142857,-256.85714285714283,Dplus Kia,14,0
Oner,jng,14.01,14,1,6.714285714285714,0.2754423194298316,103.71428571428571,10.357142857142858,6.2176285714285715,1134.005907142857,0.10863630714285713,901.6403142857142,0.07733249985937826,259.6257,228.85564285714284,0.16943378571428572,0.14285714285714285,0.2857142857142857,0.07142857142857142,4965.714285714285,216.35714285714286,0.603122403060748,2.2142857142857144,74.27208505790102,44.5,1.4779214285714286,0.31435,0.37563571428571424,5656.142857142857,367.7142857142857,T1,14,0
Peanut,jng,14.01,14,1,7.384615384615385,0.24424312229741976,99.76923076923077,3.4615384615384617,5.8209,1211.1730384615385,0.1099266846153846,829.7759307692309,0.04565200560180683,242.05992307692307,197.0365923076923,0.15759907692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693,4719.307692307692,50.07692307692308,0.6687826062826063,1.2307692307692308,62.889658394619886,46.92307692307692,1.5535307692307694,0.49059230769230766,0.2997384615384615,5419.0,124.23076923076923,Hanwha Life Esports,13,0
Pyosik,jng,14.01,14,1,6.6875,0.41083551225184667,103.0,2.0,5.9083125,975.66994375,0.139083475,896.1687499999999,0.07573004582519309,302.1696375,207.54699375,0.1727549375,0.125,0.25,0.0,4976.3125,24.0,0.6839905086544102,2.6875,52.6584913882498,57.8125,1.7105625,0.42715625,0.49895625,5573.0,-14.1875,KT Rolster,16,0
Sponge,jng,14.01,14,1,4.666666666666667,0.3454220937279707,94.73333333333333,-7.866666666666666,4.991280000000001,1280.4097266666665,0.13325501333333334,878.6817133333334,0.10609289520712856,265.22808,160.16164666666666,0.15443953333333335,0.13333333333333333,0.2,0.2,4711.266666666666,-182.93333333333334,0.7984259259259259,1.3333333333333333,40.25865325153633,48.4,1.4145133333333333,0.3691133333333333,0.39494666666666667,5252.533333333334,-301.1333333333333,DRX,15,0
Sylvie,jng,14.01,14,1,4.214285714285714,0.42377637350769304,89.71428571428571,-9.642857142857142,5.270771428571429,884.1201285714286,0.12013459285714287,852.9047857142857,0.08455319832059897,252.84127142857142,175.85636428571428,0.16356035714285716,0.07142857142857142,0.14285714285714285,0.07142857142857142,4675.0,-127.0,0.7415838130123845,1.6428571428571428,46.54128196772839,57.357142857142854,1.7395714285714285,0.4776142857142857,0.45487142857142854,5048.285714285715,-277.07142857142856,Nongshim RedForce,14,0
Willer,jng,14.01,14,1,5.642857142857143,0.4315186494247284,106.5,7.5,6.152157142857143,916.2530642857143,0.18447117857142858,972.6523142857143,0.08747979056259514,379.95649999999995,213.0694,0.18593128571428572,0.2857142857142857,0.21428571428571427,0.07142857142857142,5012.428571428572,149.14285714285714,0.6556328592042878,2.7857142857142856,43.703778209549604,58.714285714285715,1.8657214285714285,0.49252142857142855,0.5919,5723.142857142857,304.92857142857144,BNK FEARX,14,0
Bdd,mid,14.01,14,1,7.375,0.23438566610481376,145.5625,-0.0625,8.95721875,293.65884375,0.2600075,433.161825,0.07922212049263133,541.4540625,281.4430875,0.2384446875,0.1875,0.0,0.0625,5464.6875,-64.6875,0.741957572578282,3.4375,112.68394854015042,41.1875,1.22501875,0.26244375,0.45415625,7705.5,-109.25,KT Rolster,16,0
BuLLDoG,mid,14.01,14,1,4.538461538461538,0.24628795183252766,137.07692307692307,-10.615384615384615,9.04933076923077,320.521,0.28210853846153844,477.4359076923077,0.07919333125339528,658.9008846153846,286.1624153846154,0.24447946153846153,0.0,0.07692307692307693,0.23076923076923078,5290.076923076923,-380.0,0.6668409071419105,2.923076923076923,127.8262031221259,47.46153846153846,1.4015615384615383,0.29227692307692305,0.5909923076923077,7639.692307692308,-219.53846153846155,DN SOOPers,13,0
Callme,mid,14.01,14,1,3.923076923076923,0.22499801025985333,136.30769230769232,-8.076923076923077,8.90956923076923,422.9996538461538,0.2965139230769231,575.7202846153846,0.11228065811513788,600.9826615384616,265.55136153846155,0.24900515384615385,0.15384615384615385,0.0,0.3076923076923077,5425.384615384615,-137.07692307692307,0.744904667981591,1.8461538461538463,112.89650070342319,45.61538461538461,1.4181615384615385,0.32429230769230766,0.5433692307692307,7641.923076923077,-51.0,Nongshim RedForce,13,0
Chovy,mid,14.01,14,1,5.428571428571429,0.19790652978303153,149.64285714285714,5.214285714285714,9.982042857142858,453.5710642857143,0.31010185714285715,483.5662357142857,0.04575073352821634,758.4863214285714,354.7381928571429,0.26780964285714287,0.07142857142857142,0.0,0.0,6047.428571428572,419.5,0.6470094249821141,4.571428571428571,310.77117805632554,52.57142857142857,1.6686142857142858,0.45585,0.45049285714285714,7750.214285714285,-5.0,Gen.G,14,0
Clozer,mid,14.01,14,1,4.785714285714286,0.2040587867024989,145.92857142857142,2.642857142857143,9.821514285714287,593.56235,0.28059607142857146,667.1925785714285,0.07903058402511849,594.31355,291.9519714285714,0.255889,0.21428571428571427,0.07142857142857142,0.21428571428571427,5515.0,-23.357142857142858,0.5853535353535353,2.4285714285714284,141.02199443406036,36.785714285714285,1.155657142857143,0.26598571428571427,0.5361214285714285,7633.428571428572,-64.0,BNK FEARX,14,0
FIESTA,mid,14.01,14,1,4.0,0.2812100553898594,137.0,-16.0,9.3311,510.3451,0.362564,641.4913,0.10225820195994886,777.3924,312.859,0.267864,0.0,0.0,0.0,5582.0,-84.0,0.6666666666666666,4.0,227.4478057094163,61.0,1.5594,0.3068,0.5624,7504.0,-601.0,Nongshim RedForce,1,1
Faker,mid,14.01,14,1,6.5,0.1643296519687357,145.0,10.714285714285714,8.881685714285714,369.43681428571426,0.2537365714285714,470.1383642857143,0.06324011691079558,612.1410428571428,303.55541428571433,0.2239385714285714,0.0,0.21428571428571427,0.0,5877.357142857143,534.3571428571429,0.6695029491476331,3.642857142857143,192.2481550165646,35.214285714285715,1.1741142857142857,0.24441428571428572,0.37445,7787.785714285715,518.0,T1,14,0
Karis,mid,14.01,14,1,2.1538461538461537,0.18970202990164284,147.76923076923077,-3.1538461538461537,9.399823076923077,352.3136153846154,0.2610986153846154,525.1252384615384,0.09412141208040042,454.61245384615387,253.19857692307693,0.25376223076923077,0.0,0.0,0.0,5386.615384615385,-406.2307692307692,0.6491799866799867,1.3076923076923077,93.29878001243378,32.84615384615385,1.040846153846154,0.3088,0.30288461538461536,7735.923076923077,-166.23076923076923,HANJIN BRION,13,0
SeTab,mid,14.01,14,1,3.0,0.16811185048207924,138.26666666666668,-5.8,8.896633333333334,415.62082,0.27040440000000004,581.5790533333333,0.08389731830575838,543.73054,255.01856,0.24544439999999998,0.13333333333333333,0.0,0.2,5259.466666666666,-298.93333333333334,0.5733333333333334,1.8,110.88944491935864,36.46666666666667,1.0771466666666667,0.3114266666666667,0.33213333333333334,7523.133333333333,-216.73333333333332,DRX,15,0
ShowMaker,mid,14.01,14,1,3.9285714285714284,0.18727600268634542,149.71428571428572,4.785714285714286,9.098635714285715,378.2332428571429,0.2798215,508.71085714285715,0.04674631609245616,550.1086571428572,284.70262142857143,0.2435270714285714,0.0,0.2857142857142857,0.07142857142857142,5622.142857142857,163.21428571428572,0.7747120526532292,3.642857142857143,128.89646426746526,39.714285714285715,1.1685571428571428,0.2599714285714286,0.4132571428571428,7902.714285714285,284.2142857142857,Dplus Kia,14,0
Zeka,mid,14.01,14,1,4.3076923076923075,0.2323279190231098,148.0,4.6923076923076925,9.860853846153846,439.43204615384616,0.2873970769230769,526.2798153846154,0.05134111798976653,624.1026076923076,314.2877230769231,0.2527090769230769,0.15384615384615385,0.15384615384615385,0.0,5606.2307692307695,176.46153846153845,0.6036671661671662,3.3076923076923075,240.71408335794226,41.61538461538461,1.367546153846154,0.3052923076923077,0.5400769230769231,7684.538461538462,77.92307692307692,Hanwha Life Esports,13,0
Canyon,jng,14.02,14,2,6.0,0.35228529518980695,99.5,5.75,5.8694749999999996,1178.132275,0.110081925,951.6549,0.07400347499026227,244.91410000000002,190.970225,0.16840175,0.25,0.25,0.0,4658.0,-436.0,0.7954545454545454,1.25,25.958820590068186,50.0,1.6662,0.411175,0.5926,5380.0,112.5,Gen.G,4,0
Cuzz,jng,14.02,14,2,6.0,0.3139889293275797,102.4,-6.0,6.51502,1430.8468,0.1334152,1093.842,0.05600310899356727,294.45529999999997,220.17038000000002,0.1767544,0.2,0.2,0.2,4771.0,-79.0,0.6036656970480501,2.6,37.9415526567124,72.6,2.00362,0.52706,0.5718,5608.4,25.0,DN SOOPers,5,0
GIDEON,jng,14.02,14,2,4.5,0.27990251081698403,99.0,-0.75,5.478925,1016.7396,0.10801322499999999,783.366,0.11719347096613776,191.901125,149.59005000000002,0.15727649999999999,0.5,0.0,0.0,4589.75,-127.5,0.7708333333333334,0.0,15.007549068948164,42.0,1.3878,0.363975,0.3422,5251.5,-136.75,HANJIN BRION,4,0
Lucid,jng,14.02,14,2,6.75,0.4086590081013104,88.75,-15.0,5.150650000000001,1257.925225,0.06823835,765.2665,0.042310526408887286,170.741125,188.252275,0.16007125,0.25,0.0,0.0,4553.75,-240.0,0.6495098039215687,1.75,54.510545287569784,42.25,1.43875,0.3157,0.44625,5282.75,-170.75,Dplus Kia,4,0
Oner,jng,14.02,14,2,9.5,0.31058044142383423,107.5,6.75,6.0735,1270.437625,0.09086997499999999,732.983925,0.037415413770174634,248.22320000000002,228.033475,0.16081625,0.0,0.25,0.0,4926.25,-116.75,0.6731792717086835,1.5,84.07435506440248,57.5,1.9328,0.496,0.620475,5596.75,-138.5,T1,4,0
Peanut,jng,14.02,14,2,6.75,0.35115402774598004,95.0,-1.0,5.434,1301.590025,0.112781425,764.817,0.04274142994551191,239.184475,171.159275,0.1556805,0.0,0.0,0.0,4533.5,-92.0,0.8609775641025641,0.75,33.67777782925228,46.5,1.564625,0.309925,0.38382499999999997,5190.0,21.25,Hanwha Life Esports,4,0
Pyosik,jng,14.02,14,2,9.75,0.4440203489858388,89.5,-11.5,5.919175,1210.581125,0.139147525,1068.23295,0.04094821585805007,367.356575,251.89122500000002,0.1922005,0.0,0.25,0.0,4988.75,376.75,0.8099637681159421,4.25,137.00647914483534,43.25,1.481725,0.27497499999999997,0.473275,5278.25,-254.75,KT Rolster,4,0
Sponge,jng,14.02,14,2,2.5,0.28358480783404694,103.5,9.75,4.931475,1291.420625,0.11662555,826.464375,0.13280438726079702,229.4162,132.7797,0.144879,0.75,0.0,0.0,4635.25,0.75,0.575,0.0,3.002397123451858,37.75,1.1648749999999999,0.25565,0.307375,5437.0,200.25,DRX,4,0
Sylvie,jng,14.02,14,2,4.5,0.4093409209448129,98.5,7.5,5.9694,1005.370325,0.142675975,904.842225,0.02783831681427395,276.47922500000004,205.258475,0.18265900000000002,0.25,0.0,0.0,4703.25,278.75,0.7932692307692308,2.25,47.96511957711532,52.75,1.82555,0.54385,0.39842500000000003,5441.25,257.75,Nongshim RedForce,4,0
Willer,jng,14.02,14,2,2.8,0.37068601005426755,113.4,4.8,6.10184,1148.35344,0.1420954,978.61738,0.061401069723207635,255.85378,194.69245999999998,0.18864419999999998,0.0,0.4,0.0,5270.2,363.8,0.782034632034632,2.2,41.73020474403721,57.6,1.79114,0.46718000000000004,0.53354,5907.4,62.2,BNK FEARX,5,0
Bdd,mid,14.02,14,2,7.25,0.32066577502278376,143.5,2.25,8.60345,323.3241,0.24451,499.795075,0.04094821585805007,649.796,277.033375,0.21170675,0.0,0.25,0.0,5566.5,379.25,0.5880434782608696,3.0,187.14098855587594,42.25,1.46135,0.25989999999999996,0.609575,7586.5,-172.5,KT Rolster,4,0
BuLLDoG,mid,14.02,14,2,6.8,0.24493345182593895,143.6,-9.0,9.37484,310.96844,0.3626698,418.87255999999996,0.01132663666963824,764.32106,308.1276,0.24748420000000002,0.0,0.2,0.0,5470.8,-130.6,0.856100517129929,4.6,163.55331444267952,60.8,1.7107800000000002,0.2698,0.62164,7892.6,-77.2,DN SOOPers,5,0
Callme,mid,14.02,14,2,4.0,0.20762208055619435,139.0,-4.0,9.2338,370.330525,0.33057525,489.091925,0.10633474348657754,636.919475,279.890225,0.2469635,0.0,0.0,0.5,5283.75,-260.0,0.6698717948717948,2.75,94.9104623025,33.0,1.1437499999999998,0.285275,0.37915,7655.0,-136.5,Nongshim RedForce,4,0
Chovy,mid,14.02,14,2,4.25,0.2135415705339268,150.0,12.0,9.9762,361.749375,0.25700449999999997,467.332925,0.07076540224725461,558.008525,304.51825,0.26784425,0.25,0.0,0.0,5550.75,118.0,0.7181818181818183,2.75,156.1802121347709,50.5,1.671425,0.41112499999999996,0.5202,7908.5,541.5,Gen.G,4,0
Clozer,mid,14.02,14,2,2.2,0.22185710088939903,153.4,6.8,9.76186,426.08188,0.2771902,558.27854,0.08783892453069421,511.63964,264.56064,0.25295959999999995,0.2,0.0,0.0,5480.4,-38.0,0.6044011544011544,1.8,98.7101847475049,45.0,1.39996,0.37604,0.51714,8102.0,118.8,BNK FEARX,5,0
Faker,mid,14.02,14,2,9.75,0.1293795504290129,147.25,10.0,9.509325,419.647125,0.23248225,422.0217,0.057163350250497194,616.2404,336.6082,0.23881049999999998,0.25,0.0,0.0,5565.5,108.5,0.792296918767507,3.5,231.0598987815035,35.5,1.215425,0.2505,0.383275,7885.25,145.5,T1,4,0
